Gene n.marker n.marker.test p.value
ZNF333 138 12 0.699513487299837
ADGRE2 140 8 0.564080009400392
ADGRE3 106 10 0.0429900344045887
ADGRE5 127 12 0.18901625816985
CLEC17A 72 7 0.70300518761023
DDX39A 67 5 1
DNAJB1 53 6 0.041605118172492
GIPC1 52 3 0.114275423789714
NDUFB7 25 2 0.0938930884145197
PKN1 185 15 0.28544293921204
PTGER1 49 6 0.912864593541197
TECR 47 8 0.119042465171014
ZNF333 126 11 0.412516079881793
ADGRE2 135 13 0.246307661945379
ADGRE3 122 11 0.564929291734628
ADGRE5 158 7 0.462225889845927
CLEC17A 62 6 0.285177020182761
DDX39A 60 7 0.428126500040411
DNAJB1 53 4 0.064195075359329
GIPC1 47 4 0.126650672725838
NDUFB7 11 0 1
PKN1 143 3 0.365624067255385
PTGER1 57 8 1
TECR 53 4 0.758811670423377
ZNF333 144 16 0.453175153420045
ADGRE2 133 8 1
ADGRE3 118 18 0.293358567929584
ADGRE5 132 10 0.00217344947383824
CLEC17A 61 3 0.583355697095859
DDX39A 69 3 0.855215390212791
DNAJB1 64 5 0.545084758022205
GIPC1 49 6 0.72162502006949
NDUFB7 20 2 0.109174997585694
PKN1 158 10 0.690551577569048
PTGER1 73 3 0.616455411980297
TECR 50 2 0.819042801649865
ZNF333 140 9 1
ADGRE2 126 13 0.373927345622865
ADGRE3 113 11 0.0178404850389864
ADGRE5 132 7 0.00101915982317635
CLEC17A 64 5 0.207954303328076
DDX39A 79 9 0.894257568661562
DNAJB1 61 9 0.0149902115830954
GIPC1 47 4 0.80929864408054
NDUFB7 19 2 0.371689706479218
PKN1 166 15 1
PTGER1 67 7 0.74274061485539
TECR 48 3 0.323135868677578
ZNF333 140 8 0.271197758652075
ADGRE2 128 7 0.306789846286415
ADGRE3 114 9 0.11219604223096
ADGRE5 145 8 0.832533912346485
CLEC17A 55 5 0.870360963356682
DDX39A 62 4 0.520985243481202
DNAJB1 63 4 0.736368127774831
GIPC1 50 8 0.793813294730715
NDUFB7 27 1 1
PKN1 149 14 0.35048341872557
PTGER1 65 9 0.380586433190057
TECR 49 2 0.304694022542136
ZNF333 156 16 0.593553494651938
ADGRE2 135 11 1
ADGRE3 110 10 0.193087522261276
ADGRE5 130 15 0.637490435188204
CLEC17A 72 6 0.457884520634383
DDX39A 65 7 0.534209143056837
DNAJB1 65 4 0.533427401417135
GIPC1 54 2 0.758225912964535
NDUFB7 17 2 0.431004930396784
PKN1 148 9 0.900931733931326
PTGER1 56 4 0.146566346513339
TECR 45 4 0.546971671118724
ZNF333 139 14 0.873968524442991
ADGRE2 139 15 1
ADGRE3 128 11 0.609710828032596
ADGRE5 131 12 0.228644076074612
CLEC17A 73 6 0.14085534963453
DDX39A 55 4 0.805563537554422
DNAJB1 53 1 0.385210566708214
GIPC1 52 4 0.399654303653665
NDUFB7 21 0 1
PKN1 161 8 0.342735681854793
PTGER1 52 4 0.431348263696737
TECR 55 6 0.785867186121699
ZNF333 123 9 1
ADGRE2 132 13 0.421753403175311
ADGRE3 113 10 4.17363735416565e-06
ADGRE5 139 15 0.0502196829601195
CLEC17A 75 1 0.892903744196927
DDX39A 76 4 0.811221828401519
DNAJB1 66 5 0.838165097441031
GIPC1 48 4 0.503751287381681
NDUFB7 25 2 0.846056818508484
PKN1 169 10 0.0479724447651172
PTGER1 59 5 0.222221972885344
