Gene n.marker n.marker.test p.value
ADGRE3 98 9 0.684110770610278
ADGRE5 147 11 0.0962733357236366
CLEC17A 70 7 0.608032801236367
DDX39A 77 10 0.282690606734294
DNAJB1 59 3 0.0479685937629333
GIPC1 45 3 0.350810856727641
NDUFB7 20 1 0.239215868203218
PKN1 158 13 0.910196281980315
PTGER1 60 5 0.658954187645356
TECR 46 5 0.82732373158711
ZNF333 135 14 0.743261835169027
ADGRE2 144 10 0.858484458208248
ADGRE3 100 7 0.859821422226243
ADGRE5 140 18 0.640595547099698
CLEC17A 69 5 0.724518459206421
DDX39A 66 4 1
DNAJB1 57 7 1
GIPC1 63 9 0.57749485601191
NDUFB7 25 0 1
PKN1 157 6 0.247006704840575
PTGER1 61 2 0.319236818518333
TECR 53 7 0.329393544667414
ZNF333 144 16 1
ADGRE2 132 4 0.573199612969556
ADGRE3 128 15 0.00331024337349128
ADGRE5 130 11 0.398335097548073
CLEC17A 79 7 0.380599729634861
DDX39A 64 6 0.0312151184905416
DNAJB1 49 2 0.708036173354503
GIPC1 50 2 0.249724222678447
NDUFB7 23 3 0.034890937219995
PKN1 157 17 0.284762854445424
PTGER1 59 5 0.103518055557208
TECR 60 6 0.0482382688346122
ZNF333 126 5 0.423334237255935
ADGRE2 131 12 0.379391599807246
ADGRE3 103 9 0.155392097107864
ADGRE5 131 11 0.367750300282311
CLEC17A 70 5 0.284022947427601
DDX39A 46 5 0.749824120179807
DNAJB1 72 5 1
GIPC1 54 1 0.79912966831081
NDUFB7 19 0 1
PKN1 165 15 0.859168525598501
PTGER1 68 5 0.446268637140642
TECR 50 3 0.770126722913898
ZNF333 151 10 0.487727113312985
ADGRE2 131 9 0.652049477520968
ADGRE3 102 8 0.0464550446296087
ADGRE5 142 11 0.808102069770874
CLEC17A 61 3 0.40274180498828
DDX39A 86 5 0.401877374317239
DNAJB1 55 2 1
GIPC1 59 4 0.34577006239636
NDUFB7 28 0 1
PKN1 131 11 0.720122408975275
PTGER1 74 6 0.0846190423148716
TECR 48 8 0.583100994291577
ZNF333 142 7 0.648554459407423
ADGRE2 140 7 0.220353478017014
ADGRE3 109 9 0.000884888873289191
ADGRE5 156 15 0.041345360995484
CLEC17A 59 5 0.884066151779208
DDX39A 75 6 1
DNAJB1 58 7 0.707544134047558
GIPC1 55 5 0.9097515922277
NDUFB7 19 2 0.594470985409797
PKN1 153 10 0.296674563063732
PTGER1 57 8 0.300548550010503
TECR 58 2 0.790756870660873
ZNF333 148 10 0.702506327701561
ADGRE2 132 8 0.596385657376562
ADGRE3 105 8 0.0141538143272851
ADGRE5 140 7 0.345999159693687
CLEC17A 65 4 0.662745328097917
DDX39A 77 11 0.702748186816349
DNAJB1 64 10 0.215839581307885
GIPC1 64 3 0.269418009418627
NDUFB7 24 1 0.632073834859747
PKN1 144 8 0.627205449383455
PTGER1 64 5 0.723836102832496
TECR 64 8 0.246064948558952
ZNF333 126 10 0.509640285593801
ADGRE2 145 13 0.193013986811587
ADGRE3 104 15 0.296636909686176
ADGRE5 132 14 0.000465349169150753
CLEC17A 71 3 0.230209993793233
DDX39A 82 6 0.630987844669042
DNAJB1 59 6 0.617222002353149
GIPC1 55 7 0.456490099362288
NDUFB7 20 2 0.522623932970481
PKN1 154 12 1
PTGER1 63 3 0.77065363507268
TECR 55 4 0.104815362573689
ZNF333 147 10 0.399478792934942
ADGRE2 112 9 1
ADGRE3 108 8 0.0938320932410168
ADGRE5 124 12 0.0411709536058016
CLEC17A 75 11 0.217556251925917
DDX39A 58 4 0.333038893877057
DNAJB1 53 7 0.416323004458798
GIPC1 45 1 0.789898377386894
NDUFB7 18 1 0.715682654607071
PKN1 143 11 0.386965229536601
PTGER1 74 4 0.41787671974615
TECR 48 4 0.675892900532138
ZNF333 162 11 0.925098827771242
ADGRE2 157 13 0.604123790749306
ADGRE3 108 4 0.0120603198323783
ADGRE5 142 14 0.348264444728998
CLEC17A 57 4 0.411057061292693
DDX39A 74 5 0.238800175618709
DNAJB1 68 8 0.811173047938118
GIPC1 64 9 0.531815247952176
NDUFB7 19 1 0.341336404364977
PKN1 176 8 0.764366783402741
PTGER1 57 4 0.831765725636241
TECR 45 6 0.308815475233498
ZNF333 107 8 0.400984049284438
ADGRE2 152 14 0.0683452737138831
ADGRE3 108 14 0.00221490191439311
ADGRE5 129 13 0.00679184601215255
CLEC17A 70 5 0.877321692310759
DDX39A 79 5 0.0344378283795369
DNAJB1 54 5 0.159984503179758
GIPC1 59 5 0.3809225948504
NDUFB7 25 3 0.500345119842413
PKN1 160 19 0.311526957265929
PTGER1 49 4 0.254795500751103
TECR 51 2 0.684409572897072
ZNF333 144 8 0.902108134882081
ADGRE2 133 6 0.866026961752919
ADGRE3 112 15 0.00670019483962336
ADGRE5 128 21 0.456156075560206
CLEC17A 60 4 0.336519339815803
DDX39A 71 6 0.540256252066468
DNAJB1 58 3 1
GIPC1 49 3 0.833178210109769
NDUFB7 18 1 0.191815817547539
PKN1 165 11 0.876600390735579
PTGER1 57 7 0.472313704118197
TECR 54 4 0.699576850180767
ZNF333 161 11 0.708700422559688
ADGRE2 137 13 0.646136813817449
ADGRE3 120 8 0.0016505862670716
ADGRE5 129 14 0.00333114214233876
CLEC17A 67 7 0.0843192152617974
DDX39A 64 5 0.907769664868062
DNAJB1 63 9 0.341873083439096
GIPC1 54 1 0.190852321481557
NDUFB7 23 0 1
PKN1 151 16 1
PTGER1 67 3 0.192945982436943
TECR 53 3 0.00955720476777877
ZNF333 128 7 0.26585755631002
ADGRE2 139 15 0.695409097859327
ADGRE3 92 11 0.448389598901511
ADGRE5 160 16 0.0038797691028063
CLEC17A 64 7 0.716239188446962
DDX39A 84 4 0.0686029198214717
DNAJB1 53 3 0.890068741961299
GIPC1 54 3 1
NDUFB7 20 1 0.214935251756771
PKN1 146 13 0.607774921937287
PTGER1 72 10 0.21650452015695
TECR 49 7 0.736548853544717
ZNF333 140 8 0.100645469692423
ADGRE2 127 12 0.20085658923799
ADGRE3 117 3 1
ADGRE5 166 19 0.00191791844493661
CLEC17A 57 3 0.569274126862502
DDX39A 80 8 0.808170171561909
DNAJB1 48 8 0.282678651942756
GIPC1 69 1 0.508498995865282
NDUFB7 29 1 0.355050680199562
PKN1 157 16 0.852271765134388
PTGER1 51 4 0.482823522945945
TECR 37 3 0.405123850223851
ZNF333 144 9 0.831103357384687
ADGRE2 148 15 0.244505134634014
ADGRE3 104 10 0.0894655903852551
ADGRE5 146 10 0.207341896925275
CLEC17A 73 4 0.539479143908508
DDX39A 68 3 0.292790332976385
DNAJB1 53 5 0.212185700906763
GIPC1 50 6 0.750882514278742
NDUFB7 20 2 0.532843671650399
PKN1 147 10 0.147911689348712
PTGER1 67 6 0.588318675522042
TECR 62 5 0.00401201724620637
ZNF333 145 7 0.686089079913344
ADGRE2 141 7 0.837576544042445
ADGRE3 105 9 0.847873883709394
ADGRE5 158 8 0.00608829648059672
CLEC17A 70 11 0.190704159844549
DDX39A 84 9 0.538599035575563
DNAJB1 56 9 0.71083754366583
GIPC1 50 2 0.665591650704823
NDUFB7 20 1 1
PKN1 153 10 0.92386415765827
PTGER1 68 4 0.498462424435682
TECR 55 5 0.484576062472086
ZNF333 126 6 0.592389144610896
ADGRE2 114 7 0.0509912071279292
ADGRE3 98 3 0.761133051730846
ADGRE5 144 9 0.856649162114996
CLEC17A 57 6 0.552786118990625
DDX39A 73 10 0.751068828162668
DNAJB1 43 3 0.841477566472355
GIPC1 60 7 0.782887426656651
NDUFB7 27 1 0.459048557505445
PKN1 177 18 0.302497243224506
PTGER1 78 7 0.140643984255496
TECR 49 3 0.703212941096057
ZNF333 140 10 0.531785045518523
ADGRE2 132 12 0.501049500239677
ADGRE3 99 10 0.7685543849866
ADGRE5 132 14 0.428832645667529
CLEC17A 67 2 1
DDX39A 79 7 0.0795957317021445
DNAJB1 48 4 1
GIPC1 55 2 0.808743488520465
NDUFB7 26 1 0.800971098641111
PKN1 148 8 0.384176884286027
PTGER1 69 7 0.540559019242683
TECR 48 3 0.595986486021888
ZNF333 122 8 0.421379672936893
ADGRE2 141 6 0.578005805250146
ADGRE3 109 10 0.647019497276436
ADGRE5 117 9 0.123935896795139
CLEC17A 62 9 1
DDX39A 77 10 0.0885614166199602
DNAJB1 53 2 1
GIPC1 48 4 0.172008381635092
NDUFB7 20 3 0.0606363958279011
PKN1 168 12 0.511588735715465
PTGER1 67 6 0.727150237265611
TECR 42 2 0.114719670758589
ZNF333 128 7 0.919592396855332
ADGRE2 136 13 0.69322956670715
ADGRE3 120 8 1
ADGRE5 131 8 0.451716728622868
CLEC17A 70 6 0.163013282554593
DDX39A 66 4 0.819387959380422
DNAJB1 57 6 0.0984827892245252
GIPC1 68 2 1
NDUFB7 24 5 0.472868088381423
PKN1 132 11 0.239097754112039
PTGER1 48 4 0.548681561492903
TECR 56 6 0.531764043749956
ZNF333 138 8 0.139191107833326
ADGRE2 144 5 0.242692052034056
ADGRE3 106 13 0.190435896317773
ADGRE5 150 18 0.255532243551954
CLEC17A 65 5 0.0697325913468523
DDX39A 79 8 0.650104044749928
DNAJB1 64 6 0.365320784233859
GIPC1 47 1 0.462169208078246
NDUFB7 20 2 0.101599009103045
PKN1 143 14 0.620487321164202
PTGER1 55 3 0.489558995983107
TECR 44 2 0.767712692984729
ZNF333 144 11 0.867776716733239
ADGRE2 135 10 0.388076312741823
ADGRE3 98 12 0.700638568901563
ADGRE5 129 17 0.0237773357133793
CLEC17A 62 5 1
DDX39A 64 4 0.582385616900682
DNAJB1 56 3 0.110330848302551
GIPC1 48 3 0.812461459770411
NDUFB7 24 0 1
PKN1 145 10 0.198973811046078
PTGER1 59 8 0.75518649199258
TECR 58 4 0.6122997238571
ZNF333 126 6 0.0990968717242464
ADGRE2 137 18 0.199534101661453
ADGRE3 110 7 0.569899405992258
ADGRE5 145 11 0.784540716886001
CLEC17A 56 4 0.726717879807416
DDX39A 66 6 0.835952762181029
DNAJB1 50 5 1
GIPC1 42 2 0.127354339940202
NDUFB7 20 2 0.359067058261102
PKN1 159 10 0.0692203992822295
PTGER1 51 5 0.192743185544007
TECR 50 4 0.409740459011016
ZNF333 137 8 0.838871249917177
ADGRE2 162 13 0.647150101106862
ADGRE3 120 10 0.36235960791104
ADGRE5 132 11 0.591936491299917
CLEC17A 56 5 0.157825642521946
DDX39A 66 6 0.470768065890791
DNAJB1 57 4 0.594376394971748
GIPC1 56 3 0.403387805989881
NDUFB7 26 3 0.0996609779333835
PKN1 166 14 0.89616926021526
PTGER1 66 2 0.323529017066952
TECR 63 2 0.00412829848374152
ZNF333 123 9 0.53657515477883
ADGRE2 139 14 1
ADGRE3 117 10 0.000655473415912211
ADGRE5 136 18 0.216129568973353
CLEC17A 64 6 0.785191569258714
DDX39A 69 5 0.594146616676579
DNAJB1 60 9 0.79489302294799
GIPC1 48 4 0.743583110037143
NDUFB7 22 1 0.684455815152048
PKN1 144 5 1
PTGER1 52 6 0.183997344447756
TECR 48 3 0.266268937193886
ZNF333 148 14 0.0979392193487931
ADGRE2 132 10 1
ADGRE3 112 8 0.245149259618494
ADGRE5 131 11 0.422364794735832
CLEC17A 68 7 0.743664982639924
DDX39A 79 7 0.369861565491696
DNAJB1 68 6 0.802862355633203
GIPC1 57 4 0.738545820634365
NDUFB7 19 2 0.86732581127426
PKN1 158 12 0.482195105814756
PTGER1 52 6 0.0520184539210825
TECR 54 7 0.811604963423618
ZNF333 133 5 0.185400307171581
ADGRE2 140 9 0.409763310911813
ADGRE3 111 8 0.86813000099874
ADGRE5 121 11 0.160010798113494
CLEC17A 68 4 0.720735960165607
DDX39A 63 4 1
DNAJB1 48 1 0.994163911441127
GIPC1 58 4 0.595598575757544
NDUFB7 24 0 1
PKN1 151 13 0.0519404014570282
PTGER1 63 5 0.13027852555976
TECR 47 4 0.0460464039250005
ZNF333 151 13 0.594025074235968
ADGRE2 145 9 0.779101142795301
ADGRE3 109 7 0.0218286380704433
ADGRE5 130 8 0.658819360707574
CLEC17A 50 2 0.775993498820345
DDX39A 73 3 0.623261300019131
DNAJB1 54 6 0.286383262429813
GIPC1 51 7 0.648752724618053
NDUFB7 18 2 0.850518678522031
PKN1 153 14 0.627256570032905
PTGER1 64 3 0.416454768774667
TECR 55 5 0.020207361128749
ZNF333 148 13 0.218437757808327
ADGRE2 156 18 0.0963312394701775
ADGRE3 100 5 0.0979063451638902
ADGRE5 137 15 0.314337657645368
CLEC17A 63 5 0.248171576432982
DDX39A 63 3 0.799119212757842
DNAJB1 59 7 0.648863185080694
GIPC1 70 9 0.83763705825505
NDUFB7 22 1 0.190427961199674
PKN1 160 12 0.197879063093004
PTGER1 64 4 0.492824230072818
TECR 55 4 0.241473240457367
ZNF333 127 9 0.909172250100316
ADGRE2 130 9 0.277154308969919
ADGRE3 101 8 0.658968901236175
ADGRE5 134 9 0.671014015052207
CLEC17A 69 5 0.148099671280044
DDX39A 62 6 0.664698149315665
DNAJB1 54 7 0.193847048844723
GIPC1 45 4 0.877796237244939
NDUFB7 26 2 0.670013817604439
PKN1 162 11 0.0696316487190861
PTGER1 66 5 0.615707620888921
TECR 76 4 0.419529947596995
ZNF333 132 10 0.0774971313345105
ADGRE2 141 11 0.0663178450261719
ADGRE3 83 5 0.796960061614427
ADGRE5 141 9 0.160602147937134
CLEC17A 63 7 0.611832711101592
DDX39A 61 5 0.177175998332234
DNAJB1 66 5 0.157819521535605
GIPC1 67 6 0.0566594158141477
NDUFB7 17 2 1
PKN1 159 14 0.804461545999363
PTGER1 66 6 0.247755860092052
TECR 45 2 0.0255509325570831
ZNF333 149 9 0.541471459235961
ADGRE2 133 10 0.0293442721996749
ADGRE3 87 7 0.515397316432179
ADGRE5 159 12 0.0493016611197938
CLEC17A 70 10 1
DDX39A 86 7 0.344332472651726
DNAJB1 50 2 0.330718026236373
GIPC1 44 0 1
NDUFB7 15 1 0.270671462444522
PKN1 161 13 0.765013301502985
PTGER1 64 3 0.580646743273742
TECR 61 5 0.86311620671289
ZNF333 138 11 0.483524994598473
ADGRE2 134 11 0.569852028131355
ADGRE3 117 6 0.0912107972201186
ADGRE5 128 6 0.426391254987104
CLEC17A 64 6 0.814736853345821
DDX39A 67 7 0.530405697105281
DNAJB1 56 3 0.510444259148585
GIPC1 53 5 0.795784942240878
NDUFB7 17 1 0.656882791187691
PKN1 148 11 0.293036612546126
PTGER1 79 9 0.5794578134052
TECR 54 10 0.464150305366646
ZNF333 131 8 1
ADGRE2 136 15 0.64640363888763
ADGRE3 110 6 0.198344009548395
ADGRE5 157 15 0.443121194386515
CLEC17A 69 5 0.439740973600112
DDX39A 67 5 0.818297131299979
DNAJB1 55 4 0.729910458272434
GIPC1 65 4 0.885750844972426
NDUFB7 23 2 0.440347193862497
PKN1 151 12 0.598032048253935
PTGER1 58 7 0.300674929185234
TECR 59 5 0.802919059520831
ZNF333 108 10 0.3738029719454
