Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
488,158,151,61,29,28,0,1,RAREsim functional-100%
475,158,146,52,32,27,1,2,RAREsim functional-100%
475,163,149,56,33,27,0,3,RAREsim functional-100%
472,147,150,52,26,27,0,4,RAREsim functional-100%
468,147,141,57,30,31,0,5,RAREsim functional-100%
480,164,143,62,28,24,0,6,RAREsim functional-100%
486,155,146,60,32,25,1,7,RAREsim functional-100%
485,153,137,54,30,27,0,8,RAREsim functional-100%
491,156,139,61,33,25,0,9,RAREsim functional-100%
486,157,145,60,32,26,0,10,RAREsim functional-100%
495,151,149,59,32,26,0,11,RAREsim functional-100%
481,147,145,59,28,27,0,12,RAREsim functional-100%
469,147,142,62,30,27,0,13,RAREsim functional-100%
479,160,150,62,26,27,0,14,RAREsim functional-100%
475,156,150,56,32,31,0,15,RAREsim functional-100%
476,157,141,57,27,30,0,16,RAREsim functional-100%
487,150,156,64,36,28,0,17,RAREsim functional-100%
487,150,149,60,32,27,0,18,RAREsim functional-100%
497,154,146,63,25,30,0,19,RAREsim functional-100%
457,148,144,63,30,27,0,20,RAREsim functional-100%
458,164,147,55,25,29,0,21,RAREsim functional-100%
482,158,141,62,28,27,0,22,RAREsim functional-100%
494,147,133,62,34,29,0,23,RAREsim functional-100%
468,152,143,58,29,21,0,24,RAREsim functional-100%
482,152,142,57,29,30,0,25,RAREsim functional-100%
468,164,138,63,32,28,0,26,RAREsim functional-100%
478,160,145,59,30,31,1,27,RAREsim functional-100%
487,151,142,60,29,26,0,28,RAREsim functional-100%
489,155,138,62,29,28,0,29,RAREsim functional-100%
484,159,145,60,34,29,0,30,RAREsim functional-100%
484,158,148,61,30,30,1,31,RAREsim functional-100%
475,156,148,64,32,24,0,32,RAREsim functional-100%
476,157,140,59,31,21,0,33,RAREsim functional-100%
485,159,146,64,28,32,0,34,RAREsim functional-100%
479,155,148,58,27,26,0,35,RAREsim functional-100%
467,163,144,54,37,26,0,36,RAREsim functional-100%
480,156,141,61,33,23,0,37,RAREsim functional-100%
479,156,149,61,28,23,0,38,RAREsim functional-100%
479,155,139,56,31,24,0,39,RAREsim functional-100%
487,147,144,62,29,32,0,40,RAREsim functional-100%
469,151,144,62,30,27,0,41,RAREsim functional-100%
487,160,147,59,26,26,0,42,RAREsim functional-100%
473,149,148,59,31,29,0,43,RAREsim functional-100%
474,149,146,55,32,29,0,44,RAREsim functional-100%
488,154,141,58,30,29,0,45,RAREsim functional-100%
485,147,145,58,29,27,0,46,RAREsim functional-100%
485,152,144,68,28,27,0,47,RAREsim functional-100%
476,153,155,67,34,24,0,48,RAREsim functional-100%
489,158,138,64,30,26,1,49,RAREsim functional-100%
474,147,144,60,36,32,0,50,RAREsim functional-100%
481,158,147,54,31,28,1,51,RAREsim functional-100%
468,159,148,63,33,23,0,52,RAREsim functional-100%
494,157,140,59,27,30,0,53,RAREsim functional-100%
481,149,149,58,36,27,0,54,RAREsim functional-100%
479,156,145,65,29,29,0,55,RAREsim functional-100%
476,141,135,57,31,22,0,56,RAREsim functional-100%
482,153,146,54,31,27,0,57,RAREsim functional-100%
466,161,145,60,30,27,0,58,RAREsim functional-100%
486,145,146,61,28,27,0,59,RAREsim functional-100%
489,149,139,63,31,29,1,60,RAREsim functional-100%
480,143,146,62,30,29,0,61,RAREsim functional-100%
480,156,143,58,30,27,0,62,RAREsim functional-100%
470,152,143,66,31,23,0,63,RAREsim functional-100%
486,160,155,60,30,25,0,64,RAREsim functional-100%
475,148,141,65,32,27,0,65,RAREsim functional-100%
472,153,139,64,29,23,0,66,RAREsim functional-100%
467,153,150,57,21,27,1,67,RAREsim functional-100%
478,160,147,60,32,32,1,68,RAREsim functional-100%
475,156,137,58,32,29,0,69,RAREsim functional-100%
479,160,143,55,32,24,0,70,RAREsim functional-100%
490,154,148,56,26,29,1,71,RAREsim functional-100%
480,150,138,55,29,23,0,72,RAREsim functional-100%
481,153,143,59,36,24,0,73,RAREsim functional-100%
490,156,144,61,31,23,0,74,RAREsim functional-100%
479,152,148,62,31,28,0,75,RAREsim functional-100%
488,154,148,59,32,25,0,76,RAREsim functional-100%
474,153,151,62,32,24,0,77,RAREsim functional-100%
483,155,136,57,33,24,0,78,RAREsim functional-100%
462,154,150,59,33,25,0,79,RAREsim functional-100%
487,151,149,53,27,30,0,80,RAREsim functional-100%
478,159,148,62,31,23,0,81,RAREsim functional-100%
493,161,144,60,29,26,0,82,RAREsim functional-100%
491,156,146,58,32,25,0,83,RAREsim functional-100%
484,149,129,60,30,29,0,84,RAREsim functional-100%
487,157,140,56,32,22,0,85,RAREsim functional-100%
481,150,150,62,30,23,0,86,RAREsim functional-100%
499,159,144,61,32,24,0,87,RAREsim functional-100%
485,162,140,59,32,26,0,88,RAREsim functional-100%
479,157,149,61,33,26,0,89,RAREsim functional-100%
476,154,142,63,33,30,0,90,RAREsim functional-100%
480,154,156,62,32,30,0,91,RAREsim functional-100%
470,156,145,64,33,27,0,92,RAREsim functional-100%
473,147,151,61,30,25,0,93,RAREsim functional-100%
472,147,142,62,25,30,0,94,RAREsim functional-100%
481,165,148,56,31,23,0,95,RAREsim functional-100%
493,159,146,62,29,29,0,96,RAREsim functional-100%
477,157,149,61,31,27,0,97,RAREsim functional-100%
494,157,136,62,31,22,0,98,RAREsim functional-100%
475,149,147,63,27,26,0,99,RAREsim functional-100%
484,159,131,63,27,28,0,100,RAREsim functional-100%
