rep,gene,case_fun,case_syn,control_fun,control_syn
33,CLEC17A,11,6,41,18
33,DDX39A,15,11,64,41
33,DNAJB1,6,9,54,59
33,GIPC1,12,6,50,43
33,NDUFB7,1,5,11,18
33,PKN1,26,15,161,95
33,PTGER1,6,12,74,16
33,TECR,6,8,24,56
33,ZNF333,18,17,158,58
34,ADGRE2,32,17,177,119
34,ADGRE3,50,11,82,61
34,ADGRE5,54,11,155,94
34,CLEC17A,4,13,64,50
34,DDX39A,9,3,83,20
34,DNAJB1,5,6,75,37
34,GIPC1,13,10,42,54
34,NDUFB7,4,7,29,48
34,PKN1,35,17,156,91
34,PTGER1,11,9,58,27
34,TECR,7,7,52,36
34,ZNF333,28,10,155,38
35,ADGRE2,39,18,198,96
35,ADGRE3,47,10,137,92
35,ADGRE5,39,19,122,104
35,CLEC17A,11,8,56,47
35,DDX39A,20,7,88,70
35,DNAJB1,13,8,47,31
35,GIPC1,11,7,50,29
35,NDUFB7,5,0,24,7
35,PKN1,26,15,112,108
35,PTGER1,6,10,43,56
35,TECR,22,1,58,24
35,ZNF333,26,13,148,100
36,ADGRE2,34,14,184,62
36,ADGRE3,29,6,105,71
36,ADGRE5,39,36,185,151
36,CLEC17A,6,5,67,32
36,DDX39A,13,9,76,35
36,DNAJB1,10,4,41,13
36,GIPC1,11,6,83,35
36,NDUFB7,1,1,22,5
36,PKN1,14,26,87,81
36,PTGER1,12,16,86,116
36,TECR,10,6,41,38
36,ZNF333,26,13,156,75
37,ADGRE2,39,11,180,98
37,ADGRE3,34,18,99,68
37,ADGRE5,44,13,157,90
37,CLEC17A,15,11,76,39
37,DDX39A,17,12,108,57
37,DNAJB1,9,13,49,52
37,GIPC1,5,3,44,46
37,NDUFB7,9,1,44,21
37,PKN1,24,24,147,125
37,PTGER1,12,3,47,28
37,TECR,3,5,41,30
37,ZNF333,23,10,82,28
38,ADGRE2,34,18,182,99
38,ADGRE3,42,16,156,88
38,ADGRE5,36,8,170,78
38,CLEC17A,19,8,100,20
38,DDX39A,11,7,45,62
38,DNAJB1,10,15,71,79
38,GIPC1,9,4,52,34
38,NDUFB7,3,1,18,14
38,PKN1,29,13,152,70
38,PTGER1,9,8,54,79
38,TECR,17,1,33,44
38,ZNF333,32,11,153,56
39,ADGRE2,30,17,123,100
39,ADGRE3,37,14,139,100
39,ADGRE5,47,19,149,106
39,CLEC17A,11,3,47,40
39,DDX39A,9,11,54,60
39,DNAJB1,7,8,39,29
39,GIPC1,9,12,88,50
39,NDUFB7,10,4,26,39
39,PKN1,35,16,125,116
39,PTGER1,19,2,44,25
39,TECR,19,8,108,61
39,ZNF333,23,15,130,89
40,ADGRE2,29,10,179,72
40,ADGRE3,35,22,115,113
40,ADGRE5,26,23,128,143
40,CLEC17A,11,11,58,62
40,DDX39A,15,7,80,38
40,DNAJB1,8,9,33,29
40,GIPC1,12,5,53,18
40,NDUFB7,4,4,41,18
40,PKN1,38,14,153,81
40,PTGER1,9,17,77,62
40,TECR,23,4,51,15
40,ZNF333,24,11,126,48
41,ADGRE2,30,14,158,77
41,ADGRE3,28,6,129,30
41,ADGRE5,48,22,173,94
41,CLEC17A,9,2,57,31
41,DDX39A,11,13,47,48
41,DNAJB1,20,0,81,23
41,GIPC1,8,2,52,24
41,NDUFB7,5,3,27,31
41,PKN1,36,18,167,140
41,PTGER1,18,7,48,37
41,TECR,19,5,57,27
41,ZNF333,16,24,137,124
42,ADGRE2,34,9,158,51
42,ADGRE3,23,20,130,102
42,ADGRE5,33,20,153,111
42,CLEC17A,10,4,53,21
42,DDX39A,18,6,97,12
42,DNAJB1,7,10,49,40
42,GIPC1,8,7,34,41
42,NDUFB7,1,3,12,4
42,PKN1,18,17,117,95
42,PTGER1,10,21,46,74
42,TECR,16,3,57,47
42,ZNF333,28,7,162,41
43,ADGRE2,31,22,196,120
43,ADGRE3,44,6,126,51
43,ADGRE5,50,10,172,86
43,CLEC17A,15,5,38,74
43,DDX39A,13,5,59,57
43,DNAJB1,1,6,44,12
43,GIPC1,6,2,42,17
43,NDUFB7,3,5,17,14
43,PKN1,33,17,187,100
43,PTGER1,9,15,43,79
43,TECR,20,5,38,37
43,ZNF333,27,12,179,40
44,ADGRE2,13,23,105,115
44,ADGRE3,46,8,132,55
44,ADGRE5,36,14,110,99
44,CLEC17A,18,13,62,92
44,DDX39A,11,8,94,41
44,DNAJB1,17,5,91,42
44,GIPC1,9,6,38,34
44,NDUFB7,11,1,21,14
44,PKN1,24,15,147,100
44,PTGER1,6,8,36,39
44,TECR,22,4,101,24
44,ZNF333,31,9,154,94
45,ADGRE2,26,16,182,70
45,ADGRE3,31,26,120,80
45,ADGRE5,45,24,160,111
45,CLEC17A,12,4,64,23
45,DDX39A,11,7,54,14
45,DNAJB1,17,6,93,36
45,GIPC1,10,13,65,35
45,NDUFB7,2,5,17,29
45,PKN1,32,23,169,130
45,PTGER1,10,12,43,37
45,TECR,12,0,79,24
45,ZNF333,20,9,128,74
46,ADGRE2,39,9,176,77
46,ADGRE3,39,8,83,53
46,ADGRE5,42,20,102,97
46,CLEC17A,16,8,79,49
46,DDX39A,15,6,75,25
46,DNAJB1,12,1,133,30
46,GIPC1,5,12,78,51
46,NDUFB7,9,2,35,10
46,PKN1,13,12,155,96
46,PTGER1,15,8,71,35
46,TECR,20,13,73,37
46,ZNF333,30,22,139,83
47,ADGRE2,26,18,229,103
47,ADGRE3,14,19,73,110
47,ADGRE5,34,18,160,59
47,CLEC17A,11,9,74,33
47,DDX39A,13,8,93,70
47,DNAJB1,16,10,107,47
47,GIPC1,6,6,53,31
47,NDUFB7,3,0,23,8
47,PKN1,18,24,161,88
47,PTGER1,12,7,66,15
47,TECR,19,5,86,39
47,ZNF333,21,8,97,56
48,ADGRE2,26,16,124,87
48,ADGRE3,37,10,122,57
48,ADGRE5,56,11,142,73
48,CLEC17A,9,4,58,35
48,DDX39A,28,13,92,64
48,DNAJB1,8,5,35,25
48,GIPC1,7,15,31,79
48,NDUFB7,7,3,20,20
48,PKN1,14,16,142,88
48,PTGER1,12,16,42,68
48,TECR,12,10,75,49
48,ZNF333,47,7,209,76
49,ADGRE2,30,17,201,84
49,ADGRE3,45,13,85,48
49,ADGRE5,47,17,171,75
49,CLEC17A,21,9,59,56
49,DDX39A,17,2,78,38
49,DNAJB1,10,8,64,31
49,GIPC1,8,12,39,47
49,NDUFB7,3,6,29,27
49,PKN1,30,19,146,115
49,PTGER1,8,6,65,56
49,TECR,9,4,44,38
49,ZNF333,18,10,129,74
50,ADGRE2,20,9,139,76
50,ADGRE3,42,16,140,52
50,ADGRE5,42,24,119,73
50,CLEC17A,20,8,75,48
50,DDX39A,14,2,94,24
50,DNAJB1,12,8,36,40
50,GIPC1,10,10,36,46
50,NDUFB7,8,5,19,27
50,PKN1,30,23,170,145
50,PTGER1,13,7,73,26
50,TECR,14,3,51,35
50,ZNF333,37,11,163,55
51,ADGRE2,34,10,172,80
51,ADGRE3,27,31,112,115
51,ADGRE5,40,11,140,78
51,CLEC17A,6,4,83,58
51,DDX39A,15,9,41,43
51,DNAJB1,11,7,64,27
51,GIPC1,16,2,31,20
51,NDUFB7,4,2,32,20
51,PKN1,40,31,176,115
51,PTGER1,14,16,70,46
51,TECR,10,10,74,45
51,ZNF333,28,4,134,31
52,ADGRE2,23,18,136,134
52,ADGRE3,45,15,101,82
52,ADGRE5,37,19,117,86
52,CLEC17A,17,4,92,41
52,DDX39A,11,15,95,79
52,DNAJB1,14,9,73,33
52,GIPC1,9,10,44,24
52,NDUFB7,5,0,21,5
52,PKN1,24,14,179,98
52,PTGER1,15,4,61,35
52,TECR,10,17,41,60
52,ZNF333,15,11,113,81
53,ADGRE2,20,27,116,168
53,ADGRE3,23,12,90,55
53,ADGRE5,51,13,154,83
53,CLEC17A,7,10,66,64
53,DDX39A,21,4,86,39
53,DNAJB1,12,8,54,35
53,GIPC1,8,3,55,24
53,NDUFB7,2,1,12,6
53,PKN1,35,22,147,97
53,PTGER1,18,2,74,15
53,TECR,10,3,44,39
53,ZNF333,26,4,141,29
54,ADGRE2,24,14,126,90
54,ADGRE3,29,15,123,74
54,ADGRE5,45,6,134,66
54,CLEC17A,8,11,33,78
54,DDX39A,29,9,123,56
54,DNAJB1,7,6,43,42
54,GIPC1,10,11,47,49
54,NDUFB7,4,0,26,18
54,PKN1,33,12,190,101
54,PTGER1,9,9,53,43
54,TECR,19,5,65,44
54,ZNF333,36,9,149,71
55,ADGRE2,35,31,164,147
55,ADGRE3,25,17,87,82
55,ADGRE5,47,19,129,91
55,CLEC17A,14,0,73,19
55,DDX39A,23,13,88,54
55,DNAJB1,9,9,41,40
55,GIPC1,12,4,51,38
55,NDUFB7,5,8,28,10
55,PKN1,21,18,138,91
55,PTGER1,7,9,50,51
55,TECR,16,5,50,56
55,ZNF333,26,23,149,55
56,ADGRE2,32,27,116,122
56,ADGRE3,46,8,155,81
56,ADGRE5,53,12,153,62
56,CLEC17A,12,9,79,55
56,DDX39A,6,3,52,35
56,DNAJB1,6,7,77,27
56,GIPC1,15,7,55,25
56,NDUFB7,1,1,11,12
56,PKN1,18,12,111,84
56,PTGER1,16,18,61,78
56,TECR,26,12,73,74
56,ZNF333,29,11,181,72
57,ADGRE2,21,12,129,89
57,ADGRE3,63,14,122,52
57,ADGRE5,37,23,114,145
57,CLEC17A,15,9,57,21
57,DDX39A,29,10,124,39
57,DNAJB1,5,7,56,24
57,GIPC1,11,5,57,38
57,NDUFB7,3,2,13,9
57,PKN1,37,18,200,99
57,PTGER1,11,3,47,16
57,TECR,14,6,68,26
57,ZNF333,30,14,146,64
58,ADGRE2,17,22,97,124
58,ADGRE3,35,18,110,97
58,ADGRE5,26,12,81,89
58,CLEC17A,17,4,76,23
58,DDX39A,24,11,84,49
58,DNAJB1,5,6,55,50
58,GIPC1,14,5,73,10
58,NDUFB7,2,7,32,9
58,PKN1,26,25,127,140
58,PTGER1,10,9,61,41
58,TECR,23,5,37,32
58,ZNF333,35,9,156,47
59,ADGRE2,16,14,149,101
59,ADGRE3,38,13,88,56
59,ADGRE5,43,7,139,90
59,CLEC17A,12,7,82,51
59,DDX39A,23,8,82,47
59,DNAJB1,12,8,62,49
59,GIPC1,9,6,47,21
59,NDUFB7,8,3,24,7
59,PKN1,10,33,116,158
59,PTGER1,14,8,60,11
59,TECR,25,4,42,41
59,ZNF333,34,15,176,51
60,ADGRE2,27,31,135,185
60,ADGRE3,48,5,161,45
60,ADGRE5,35,23,124,124
60,CLEC17A,12,11,32,32
60,DDX39A,13,14,88,19
60,DNAJB1,13,8,66,35
60,GIPC1,10,3,65,21
60,NDUFB7,0,3,11,10
60,PKN1,40,23,192,131
60,PTGER1,9,7,67,35
60,TECR,14,5,51,38
60,ZNF333,40,18,186,68
61,ADGRE2,22,14,131,88
61,ADGRE3,29,21,72,116
61,ADGRE5,33,15,142,128
61,CLEC17A,11,11,56,52
61,DDX39A,14,0,48,23
61,DNAJB1,12,6,62,35
61,GIPC1,10,12,90,39
61,NDUFB7,9,3,52,8
61,PKN1,39,19,163,100
61,PTGER1,15,19,75,77
61,TECR,18,7,69,23
61,ZNF333,25,3,128,51
62,ADGRE2,31,14,131,66
62,ADGRE3,27,7,97,35
62,ADGRE5,41,15,159,125
62,CLEC17A,22,1,75,21
62,DDX39A,19,5,85,27
62,DNAJB1,14,9,67,34
62,GIPC1,12,4,54,41
62,NDUFB7,5,4,66,17
62,PKN1,30,23,184,164
62,PTGER1,8,18,85,67
62,TECR,11,3,45,16
62,ZNF333,18,11,143,61
63,ADGRE2,28,29,140,109
63,ADGRE3,32,19,120,59
63,ADGRE5,34,27,174,99
63,CLEC17A,8,3,60,16
63,DDX39A,12,4,65,50
63,DNAJB1,4,3,34,15
63,GIPC1,4,14,42,30
63,NDUFB7,1,1,19,17
63,PKN1,26,17,173,100
63,PTGER1,10,1,91,22
63,TECR,10,8,57,19
63,ZNF333,36,11,147,49
64,ADGRE2,38,43,150,162
64,ADGRE3,40,12,130,43
64,ADGRE5,41,8,165,68
64,CLEC17A,6,4,73,39
64,DDX39A,15,9,82,18
64,DNAJB1,4,5,29,49
64,GIPC1,9,0,44,18
64,NDUFB7,5,5,24,21
64,PKN1,36,29,134,109
64,PTGER1,4,10,57,29
64,TECR,14,7,76,33
64,ZNF333,28,11,106,27
65,ADGRE2,25,11,121,70
65,ADGRE3,47,14,129,82
65,ADGRE5,48,16,143,89
65,CLEC17A,14,2,58,27
65,DDX39A,13,10,86,55
65,DNAJB1,8,11,57,21
65,GIPC1,12,9,57,31
65,NDUFB7,3,5,23,24
65,PKN1,33,26,127,104
65,PTGER1,8,1,54,15
65,TECR,17,7,60,20
65,ZNF333,31,21,140,101
66,ADGRE2,22,13,113,78
66,ADGRE3,32,9,146,67
66,ADGRE5,53,27,129,111
66,CLEC17A,9,8,71,24
66,DDX39A,15,8,74,66
66,DNAJB1,13,7,34,31
66,GIPC1,11,15,54,42
66,NDUFB7,10,7,43,17
66,PKN1,31,21,175,82
66,PTGER1,21,9,99,54
66,TECR,11,2,48,38
66,ZNF333,19,10,158,74
67,ADGRE2,29,13,114,102
67,ADGRE3,28,18,107,86
67,ADGRE5,65,13,181,57
67,CLEC17A,10,3,57,12
67,DDX39A,9,12,86,37
67,DNAJB1,4,6,47,40
67,GIPC1,14,4,44,31
67,NDUFB7,5,6,12,20
67,PKN1,33,34,118,92
67,PTGER1,18,11,47,84
67,TECR,16,13,45,37
67,ZNF333,30,5,130,66
68,ADGRE2,32,25,152,132
68,ADGRE3,34,21,132,83
68,ADGRE5,39,9,145,112
68,CLEC17A,16,10,56,26
68,DDX39A,20,8,61,30
68,DNAJB1,8,3,41,25
68,GIPC1,10,1,51,16
68,NDUFB7,5,0,26,7
68,PKN1,34,17,178,88
68,PTGER1,6,6,41,35
68,TECR,11,10,68,58
68,ZNF333,13,12,119,56
69,ADGRE2,28,10,165,97
69,ADGRE3,50,12,132,82
69,ADGRE5,20,15,113,134
69,CLEC17A,15,11,92,39
69,DDX39A,10,6,39,37
69,DNAJB1,12,6,35,13
69,GIPC1,11,14,62,49
69,NDUFB7,1,2,22,19
69,PKN1,33,21,208,108
69,PTGER1,14,10,71,38
69,TECR,14,3,25,20
69,ZNF333,30,13,120,74
70,ADGRE2,36,14,203,93
70,ADGRE3,35,4,102,50
70,ADGRE5,53,19,131,78
70,CLEC17A,13,4,68,15
70,DDX39A,6,3,38,55
70,DNAJB1,15,14,61,52
70,GIPC1,2,11,44,42
70,NDUFB7,8,6,31,21
70,PKN1,22,21,159,87
70,PTGER1,8,10,66,60
70,TECR,23,7,65,31
70,ZNF333,30,5,141,48
71,ADGRE2,29,17,128,100
71,ADGRE3,38,11,112,55
71,ADGRE5,32,25,120,85
71,CLEC17A,10,16,66,44
71,DDX39A,17,15,78,33
71,DNAJB1,14,13,69,74
71,GIPC1,13,17,52,65
71,NDUFB7,2,3,10,14
71,PKN1,32,17,165,123
71,PTGER1,21,14,84,83
71,TECR,17,5,43,30
71,ZNF333,21,13,133,56
72,ADGRE2,27,34,117,122
72,ADGRE3,31,23,116,82
