rep,gene,case_fun,case_syn,control_fun,control_syn
34,PTGER1,9,9,45,44
34,TECR,7,7,59,43
34,ZNF333,20,10,108,44
35,ADGRE2,39,18,183,97
35,ADGRE3,47,10,174,82
35,ADGRE5,39,19,106,80
35,CLEC17A,11,8,68,39
35,DDX39A,20,3,81,35
35,DNAJB1,13,8,53,51
35,GIPC1,11,7,52,35
35,NDUFB7,5,0,24,8
35,PKN1,26,10,148,95
35,PTGER1,6,10,36,58
35,TECR,22,3,49,37
35,ZNF333,26,13,161,79
36,ADGRE2,34,14,201,73
36,ADGRE3,27,6,103,59
36,ADGRE5,39,31,159,167
36,CLEC17A,5,3,53,32
36,DDX39A,13,9,75,46
36,DNAJB1,10,4,39,26
36,GIPC1,11,6,76,29
36,NDUFB7,1,1,12,8
36,PKN1,14,26,108,117
36,PTGER1,9,15,58,79
36,TECR,10,6,21,23
36,ZNF333,22,10,128,72
37,ADGRE2,34,11,150,65
37,ADGRE3,34,18,90,81
37,ADGRE5,44,13,160,99
37,CLEC17A,15,11,69,44
37,DDX39A,14,12,97,68
37,DNAJB1,9,10,56,26
37,GIPC1,5,3,35,49
37,NDUFB7,7,1,29,12
37,PKN1,24,21,151,107
37,PTGER1,12,3,39,28
37,TECR,3,5,37,25
37,ZNF333,23,10,110,37
38,ADGRE2,32,18,178,70
38,ADGRE3,39,16,164,89
38,ADGRE5,40,8,158,57
38,CLEC17A,12,8,44,12
38,DDX39A,11,4,62,52
38,DNAJB1,7,15,48,83
38,GIPC1,8,4,33,44
38,NDUFB7,3,1,11,8
38,PKN1,23,13,137,56
38,PTGER1,9,8,59,64
38,TECR,17,1,39,27
38,ZNF333,28,8,165,42
39,ADGRE2,29,13,129,82
39,ADGRE3,37,14,141,104
39,ADGRE5,47,19,146,90
39,CLEC17A,11,1,54,28
39,DDX39A,9,11,48,64
39,DNAJB1,7,8,31,23
39,GIPC1,5,8,29,37
39,NDUFB7,10,0,23,25
39,PKN1,32,16,124,104
39,PTGER1,17,2,31,18
39,TECR,18,4,80,26
39,ZNF333,23,11,149,52
40,ADGRE2,29,10,201,83
40,ADGRE3,35,22,104,107
40,ADGRE5,26,23,126,121
40,CLEC17A,11,11,70,50
40,DDX39A,15,7,79,48
40,DNAJB1,8,12,32,63
40,GIPC1,13,5,39,19
40,NDUFB7,4,4,31,19
40,PKN1,38,16,184,95
40,PTGER1,9,15,71,80
40,TECR,23,4,43,25
40,ZNF333,22,11,143,51
41,ADGRE2,30,14,171,99
41,ADGRE3,28,6,146,33
41,ADGRE5,46,22,184,116
41,CLEC17A,9,2,56,21
41,DDX39A,8,13,51,63
41,DNAJB1,16,0,77,24
41,GIPC1,8,4,51,35
41,NDUFB7,2,3,6,25
41,PKN1,35,15,131,89
41,PTGER1,19,7,79,32
41,TECR,19,5,88,18
41,ZNF333,16,24,148,129
42,ADGRE2,34,9,172,71
42,ADGRE3,23,17,135,94
42,ADGRE5,29,20,133,114
42,CLEC17A,10,4,69,25
42,DDX39A,18,6,86,12
42,DNAJB1,7,10,57,48
42,GIPC1,8,7,48,45
42,NDUFB7,1,3,6,14
42,PKN1,16,17,129,102
42,PTGER1,10,21,58,87
42,TECR,16,3,61,23
42,ZNF333,26,7,130,45
43,ADGRE2,24,16,170,74
43,ADGRE3,41,6,111,44
43,ADGRE5,53,10,183,73
43,CLEC17A,15,5,51,45
43,DDX39A,9,1,60,27
43,DNAJB1,1,6,31,23
43,GIPC1,6,2,52,19
43,NDUFB7,3,5,10,17
43,PKN1,33,17,186,92
43,PTGER1,9,15,48,97
43,TECR,20,5,51,24
43,ZNF333,27,12,164,33
44,ADGRE2,13,23,101,107
44,ADGRE3,46,6,165,36
44,ADGRE5,36,14,124,86
44,CLEC17A,18,11,81,101
44,DDX39A,11,8,97,39
44,DNAJB1,15,5,83,53
44,GIPC1,9,6,53,38
44,NDUFB7,11,1,19,4
44,PKN1,21,15,119,90
44,PTGER1,6,8,43,69
44,TECR,19,4,88,19
44,ZNF333,29,5,131,62
45,ADGRE2,26,16,171,59
45,ADGRE3,27,24,121,99
45,ADGRE5,42,24,131,114
45,CLEC17A,12,4,60,23
45,DDX39A,11,7,63,20
45,DNAJB1,14,6,89,28
45,GIPC1,10,13,73,46
45,NDUFB7,2,5,17,36
45,PKN1,31,20,167,102
45,PTGER1,10,12,58,30
45,TECR,12,0,86,16
45,ZNF333,20,9,122,44
46,ADGRE2,37,5,185,45
46,ADGRE3,39,8,96,59
46,ADGRE5,42,20,91,103
46,CLEC17A,16,8,72,58
46,DDX39A,15,6,58,16
46,DNAJB1,8,1,74,28
46,GIPC1,5,13,61,65
46,NDUFB7,9,2,31,4
46,PKN1,13,16,135,97
46,PTGER1,14,8,75,21
46,TECR,20,13,62,48
46,ZNF333,30,22,132,89
47,ADGRE2,26,18,224,113
47,ADGRE3,14,19,59,101
47,ADGRE5,32,18,140,79
47,CLEC17A,11,6,94,19
47,DDX39A,13,7,87,40
47,DNAJB1,12,10,82,39
47,GIPC1,4,6,51,22
47,NDUFB7,3,0,26,13
47,PKN1,18,24,152,93
47,PTGER1,12,7,90,25
47,TECR,15,5,62,38
47,ZNF333,21,6,91,43
48,ADGRE2,26,16,150,114
48,ADGRE3,31,10,85,45
48,ADGRE5,56,11,157,77
48,CLEC17A,9,4,62,30
48,DDX39A,28,13,104,44
48,DNAJB1,7,5,38,28
48,GIPC1,7,12,40,85
48,NDUFB7,7,3,36,29
48,PKN1,14,16,138,101
48,PTGER1,12,13,63,40
48,TECR,9,13,57,71
48,ZNF333,47,7,196,51
49,ADGRE2,30,13,159,62
49,ADGRE3,45,16,112,84
49,ADGRE5,47,17,151,84
49,CLEC17A,21,9,89,64
49,DDX39A,17,2,91,42
49,DNAJB1,10,4,79,17
49,GIPC1,8,12,45,57
49,NDUFB7,0,2,12,13
49,PKN1,30,15,149,107
49,PTGER1,8,6,59,51
49,TECR,9,4,37,51
49,ZNF333,22,10,150,62
50,ADGRE2,20,9,162,60
50,ADGRE3,42,16,141,75
50,ADGRE5,42,24,140,114
50,CLEC17A,20,8,76,38
50,DDX39A,14,2,72,20
50,DNAJB1,12,8,38,36
50,GIPC1,10,11,40,36
50,NDUFB7,4,5,12,27
50,PKN1,30,21,172,132
50,PTGER1,13,7,88,42
50,TECR,10,3,29,32
50,ZNF333,30,7,133,59
51,ADGRE2,31,10,157,74
51,ADGRE3,27,27,101,108
51,ADGRE5,40,11,152,74
51,CLEC17A,6,4,67,63
51,DDX39A,15,5,76,31
51,DNAJB1,11,7,58,35
51,GIPC1,16,2,28,26
51,NDUFB7,4,0,43,2
51,PKN1,36,30,151,99
51,PTGER1,14,16,88,57
51,TECR,10,6,62,17
51,ZNF333,28,4,126,31
52,ADGRE2,23,15,119,94
52,ADGRE3,45,13,124,75
52,ADGRE5,37,19,116,67
52,CLEC17A,12,2,63,32
52,DDX39A,9,15,72,77
52,DNAJB1,14,9,47,28
52,GIPC1,9,10,55,32
52,NDUFB7,5,0,21,3
52,PKN1,25,14,186,99
52,PTGER1,15,7,71,36
52,TECR,10,12,38,46
52,ZNF333,15,6,104,52
53,ADGRE2,20,26,87,167
53,ADGRE3,23,8,78,61
53,ADGRE5,51,13,173,67
53,CLEC17A,7,10,46,58
53,DDX39A,21,4,97,39
53,DNAJB1,12,8,65,37
53,GIPC1,8,3,44,29
53,NDUFB7,2,1,11,6
53,PKN1,35,18,163,96
53,PTGER1,18,2,96,20
53,TECR,10,3,40,20
53,ZNF333,24,4,118,20
54,ADGRE2,21,14,139,95
54,ADGRE3,25,12,90,49
54,ADGRE5,45,6,178,57
54,CLEC17A,8,10,43,57
54,DDX39A,25,9,128,54
54,DNAJB1,7,6,36,36
54,GIPC1,10,7,59,32
54,NDUFB7,4,0,28,12
54,PKN1,37,12,242,75
54,PTGER1,9,9,43,47
54,TECR,19,5,74,32
54,ZNF333,33,3,163,43
55,ADGRE2,35,25,190,123
55,ADGRE3,25,10,78,58
55,ADGRE5,48,19,164,85
55,CLEC17A,10,0,46,15
55,DDX39A,19,10,79,32
55,DNAJB1,9,5,65,18
55,GIPC1,8,4,48,39
55,NDUFB7,5,8,28,22
55,PKN1,21,18,145,114
55,PTGER1,7,9,37,63
55,TECR,16,3,56,27
55,ZNF333,23,23,119,103
56,ADGRE2,32,27,121,128
56,ADGRE3,46,7,155,74
56,ADGRE5,51,12,138,49
56,CLEC17A,12,9,54,41
56,DDX39A,6,3,69,44
56,DNAJB1,3,7,53,44
56,GIPC1,15,7,66,27
56,NDUFB7,1,1,16,6
56,PKN1,15,12,134,71
56,PTGER1,12,18,44,84
56,TECR,23,9,60,48
56,ZNF333,25,11,132,61
57,ADGRE2,21,12,136,92
57,ADGRE3,63,14,133,94
57,ADGRE5,34,23,133,144
57,CLEC17A,15,9,51,33
57,DDX39A,26,10,122,35
57,DNAJB1,1,7,32,23
57,GIPC1,11,5,68,28
57,NDUFB7,3,2,11,21
57,PKN1,37,18,222,93
57,PTGER1,11,3,34,23
57,TECR,13,6,44,27
57,ZNF333,30,14,163,53
58,ADGRE2,15,22,79,114
58,ADGRE3,35,17,138,77
58,ADGRE5,26,12,90,82
58,CLEC17A,17,4,65,16
58,DDX39A,20,11,82,54
58,DNAJB1,5,6,46,55
58,GIPC1,14,5,82,24
58,NDUFB7,2,7,24,29
58,PKN1,26,21,161,122
58,PTGER1,10,9,60,45
58,TECR,23,5,47,27
58,ZNF333,35,9,169,43
59,ADGRE2,16,12,144,83
59,ADGRE3,38,13,89,66
59,ADGRE5,43,7,153,85
59,CLEC17A,12,7,93,50
59,DDX39A,21,12,97,69
59,DNAJB1,8,8,53,45
59,GIPC1,9,6,61,31
59,NDUFB7,8,3,44,12
59,PKN1,10,28,106,108
59,PTGER1,14,8,78,24
59,TECR,25,4,27,32
59,ZNF333,34,15,189,60
60,ADGRE2,27,19,150,104
60,ADGRE3,43,5,172,35
60,ADGRE5,35,23,116,126
60,CLEC17A,12,7,39,37
60,DDX39A,13,14,94,21
60,DNAJB1,12,8,50,40
60,GIPC1,3,3,41,28
60,NDUFB7,0,3,9,21
60,PKN1,35,23,160,140
60,PTGER1,9,7,62,44
60,TECR,14,5,39,32
60,ZNF333,36,18,153,64
61,ADGRE2,22,14,129,91
61,ADGRE3,32,14,104,81
61,ADGRE5,33,16,133,84
61,CLEC17A,11,10,55,55
61,DDX39A,14,0,50,23
61,DNAJB1,12,6,60,20
61,GIPC1,7,12,54,52
61,NDUFB7,9,3,55,12
61,PKN1,35,19,175,115
61,PTGER1,11,16,57,53
61,TECR,18,7,57,25
61,ZNF333,25,3,129,37
62,ADGRE2,28,14,156,72
62,ADGRE3,27,7,91,62
62,ADGRE5,41,12,163,93
62,CLEC17A,22,1,93,15
62,DDX39A,17,5,98,17
62,DNAJB1,14,9,74,19
62,GIPC1,12,4,48,43
62,NDUFB7,3,4,25,11
62,PKN1,30,22,207,140
62,PTGER1,4,11,57,57
62,TECR,11,3,52,20
62,ZNF333,15,11,141,61
63,ADGRE2,28,27,155,85
63,ADGRE3,30,19,111,96
63,ADGRE5,34,26,151,98
63,CLEC17A,8,3,59,17
63,DDX39A,12,4,78,45
63,DNAJB1,4,3,39,11
63,GIPC1,4,10,34,45
63,NDUFB7,1,1,22,7
63,PKN1,26,17,167,102
63,PTGER1,10,1,83,18
63,TECR,10,8,44,21
63,ZNF333,36,11,151,46
64,ADGRE2,34,41,137,160
64,ADGRE3,40,12,124,45
64,ADGRE5,41,8,172,58
64,CLEC17A,6,4,64,35
64,DDX39A,15,9,85,26
64,DNAJB1,4,4,37,33
64,GIPC1,9,0,51,18
64,NDUFB7,5,5,10,22
64,PKN1,32,29,146,101
64,PTGER1,4,10,59,45
64,TECR,14,7,83,39
64,ZNF333,27,11,123,32
65,ADGRE2,26,11,151,118
65,ADGRE3,45,14,137,108
65,ADGRE5,48,16,138,84
65,CLEC17A,11,2,41,16
65,DDX39A,13,3,79,34
65,DNAJB1,8,11,50,37
65,GIPC1,12,9,66,35
65,NDUFB7,3,5,29,32
65,PKN1,33,26,138,103
65,PTGER1,8,1,75,21
65,TECR,17,7,66,47
65,ZNF333,31,15,169,85
66,ADGRE2,22,13,95,58
66,ADGRE3,32,9,120,47
66,ADGRE5,53,27,150,119
66,CLEC17A,9,8,70,36
66,DDX39A,15,7,83,56
66,DNAJB1,13,7,65,43
66,GIPC1,11,15,72,78
66,NDUFB7,10,7,40,22
66,PKN1,31,21,146,100
66,PTGER1,17,9,61,56
66,TECR,11,2,37,43
66,ZNF333,16,10,139,56
67,ADGRE2,29,12,132,76
67,ADGRE3,28,13,96,56
67,ADGRE5,65,10,161,62
67,CLEC17A,10,3,62,4
67,DDX39A,9,12,75,41
67,DNAJB1,4,6,47,49
67,GIPC1,14,4,65,41
67,NDUFB7,5,6,17,29
67,PKN1,33,34,186,100
67,PTGER1,18,11,53,80
67,TECR,16,13,33,51
67,ZNF333,30,3,121,32
68,ADGRE2,32,21,161,103
68,ADGRE3,30,21,100,97
68,ADGRE5,39,9,134,72
68,CLEC17A,16,10,72,47
68,DDX39A,17,4,61,35
68,DNAJB1,8,3,51,19
68,GIPC1,10,1,57,8
68,NDUFB7,5,0,30,3
68,PKN1,34,17,193,105
68,PTGER1,6,6,49,41
68,TECR,8,10,47,53
68,ZNF333,17,12,130,49
69,ADGRE2,28,10,175,72
69,ADGRE3,47,12,135,107
69,ADGRE5,20,15,129,123
69,CLEC17A,11,11,51,50
69,DDX39A,10,6,50,40
69,DNAJB1,12,6,37,29
69,GIPC1,11,14,59,67
69,NDUFB7,1,2,16,9
69,PKN1,30,21,166,120
69,PTGER1,10,10,59,50
69,TECR,14,3,24,24
69,ZNF333,30,13,114,63
70,ADGRE2,32,14,155,72
70,ADGRE3,35,7,100,82
70,ADGRE5,52,19,120,99
70,CLEC17A,13,4,91,13
70,DDX39A,6,3,33,39
70,DNAJB1,15,11,79,32
70,GIPC1,2,8,46,28
70,NDUFB7,8,6,26,24
70,PKN1,22,21,119,129
70,PTGER1,8,8,66,37
70,TECR,23,7,80,49
70,ZNF333,30,5,155,47
71,ADGRE2,29,17,123,125
71,ADGRE3,38,10,122,33
71,ADGRE5,32,21,138,118
71,CLEC17A,10,16,74,67
71,DDX39A,17,11,81,26
71,DNAJB1,14,13,59,52
71,GIPC1,13,13,57,72
71,NDUFB7,2,3,7,19
71,PKN1,29,17,139,140
71,PTGER1,21,14,69,78
71,TECR,17,5,59,23
71,ZNF333,21,13,95,75
72,ADGRE2,27,34,134,150
72,ADGRE3,31,23,136,108
72,ADGRE5,51,11,197,81
72,CLEC17A,4,7,48,22
