rep,gene,case_fun,case_syn,control_fun,control_syn
1,ADGRE2,19,16,159,79
1,ADGRE3,42,9,112,58
1,ADGRE5,23,15,156,117
1,CLEC17A,11,6,92,47
1,DDX39A,3,1,63,31
1,DNAJB1,5,10,50,33
1,GIPC1,11,2,69,30
1,NDUFB7,3,5,25,25
1,PKN1,18,12,177,112
1,PTGER1,15,0,80,25
1,TECR,15,7,94,34
1,ZNF333,24,15,141,86
2,ADGRE2,16,19,139,88
2,ADGRE3,39,7,155,78
2,ADGRE5,40,15,173,81
2,CLEC17A,13,5,64,39
2,DDX39A,16,5,97,65
2,DNAJB1,13,11,81,55
2,GIPC1,10,8,56,28
2,NDUFB7,4,3,14,28
2,PKN1,17,18,168,111
2,PTGER1,5,4,58,11
2,TECR,16,9,33,39
2,ZNF333,27,13,151,85
3,ADGRE2,23,18,122,133
3,ADGRE3,32,11,142,70
3,ADGRE5,44,17,198,111
3,CLEC17A,9,9,92,76
3,DDX39A,20,7,107,31
3,DNAJB1,12,11,60,66
3,GIPC1,11,2,86,33
3,NDUFB7,9,1,24,7
3,PKN1,33,37,141,178
3,PTGER1,13,7,80,19
3,TECR,12,6,30,23
3,ZNF333,29,3,167,59
4,ADGRE2,13,16,124,101
4,ADGRE3,21,12,131,72
4,ADGRE5,37,14,166,144
4,CLEC17A,15,5,53,41
4,DDX39A,12,8,68,74
4,DNAJB1,6,7,44,36
4,GIPC1,2,5,67,17
4,NDUFB7,5,1,21,5
4,PKN1,33,10,212,107
4,PTGER1,14,7,77,62
4,TECR,12,2,54,45
4,ZNF333,17,9,193,34
5,ADGRE2,40,15,222,88
5,ADGRE3,23,14,116,63
5,ADGRE5,35,15,147,120
5,CLEC17A,10,4,46,8
5,DDX39A,16,10,98,34
5,DNAJB1,8,7,60,54
5,GIPC1,18,15,78,50
5,NDUFB7,7,2,50,15
5,PKN1,17,21,125,109
5,PTGER1,11,11,73,60
5,TECR,14,8,42,30
5,ZNF333,24,7,145,45
6,ADGRE2,19,18,118,128
6,ADGRE3,18,14,108,57
6,ADGRE5,41,11,152,96
6,CLEC17A,19,8,75,41
6,DDX39A,15,3,70,19
6,DNAJB1,18,7,104,65
6,GIPC1,4,7,82,35
6,NDUFB7,5,3,33,5
6,PKN1,32,13,197,105
6,PTGER1,12,1,89,62
6,TECR,12,2,99,30
6,ZNF333,29,9,153,69
7,ADGRE2,45,16,202,82
7,ADGRE3,25,3,129,28
7,ADGRE5,39,30,167,135
7,CLEC17A,15,7,71,50
7,DDX39A,16,7,55,41
7,DNAJB1,4,9,47,37
7,GIPC1,6,11,34,51
7,NDUFB7,2,1,22,15
7,PKN1,36,26,208,160
7,PTGER1,13,5,79,60
7,TECR,8,10,44,32
7,ZNF333,21,7,155,46
8,ADGRE2,22,8,168,98
8,ADGRE3,35,9,125,86
8,ADGRE5,34,13,144,82
8,CLEC17A,11,5,69,63
8,DDX39A,15,5,75,44
8,DNAJB1,9,2,62,37
8,GIPC1,13,16,85,58
8,NDUFB7,2,1,36,1
8,PKN1,29,17,239,143
8,PTGER1,15,13,91,46
8,TECR,13,3,33,34
8,ZNF333,14,14,134,78
9,ADGRE2,23,17,207,134
9,ADGRE3,35,12,117,92
9,ADGRE5,31,8,173,107
9,CLEC17A,6,2,70,21
9,DDX39A,9,9,85,66
9,DNAJB1,11,5,59,30
9,GIPC1,10,3,52,19
9,NDUFB7,3,1,18,6
9,PKN1,24,22,184,127
9,PTGER1,6,9,26,42
9,TECR,12,2,97,17
9,ZNF333,28,11,156,48
10,ADGRE2,25,18,160,118
10,ADGRE3,30,11,77,78
10,ADGRE5,50,9,162,94
10,CLEC17A,13,5,63,37
10,DDX39A,18,12,69,90
10,DNAJB1,10,5,39,51
10,GIPC1,19,10,100,64
10,NDUFB7,6,1,51,3
10,PKN1,29,15,170,132
10,PTGER1,11,7,89,27
10,TECR,15,7,77,32
10,ZNF333,30,5,158,68
11,ADGRE2,26,12,199,130
11,ADGRE3,28,16,96,99
11,ADGRE5,59,19,185,111
11,CLEC17A,6,6,81,21
11,DDX39A,18,8,124,67
11,DNAJB1,8,3,112,31
11,GIPC1,9,3,44,26
11,NDUFB7,5,0,40,3
11,PKN1,23,18,153,119
11,PTGER1,11,8,62,33
11,TECR,4,18,62,56
11,ZNF333,29,15,181,78
12,ADGRE2,27,8,173,119
12,ADGRE3,43,15,145,63
12,ADGRE5,43,15,144,111
12,CLEC17A,8,6,63,40
12,DDX39A,7,6,54,23
12,DNAJB1,10,6,58,55
12,GIPC1,10,12,74,54
12,NDUFB7,3,1,23,8
12,PKN1,35,18,189,135
