rep,gene,case_fun,case_syn,control_fun,control_syn,case_ratio,control_ratio,case_fun_w,control_fun_w,prox,prox_w
1,ADGRE2,24,20,168,75,1.2,2.24,12.0330578512397,74.0088105726872,0.0635433542670033,0.208711904561903
1,ADGRE3,42,13,115,50,3.23076923076923,2.3,21.0578512396694,50.6607929515419,0.337231814942092,0.252593151815272
1,ADGRE5,27,22,153,130,1.22727272727273,1.17692307692308,13.5371900826446,67.4008810572687,0.892798872647038,0.581448297576849
1,CLEC17A,14,6,112,45,2.33333333333333,2.48888888888889,7.01928374655647,49.3392070484581,0.901345516147328,0.907572790383651
1,DDX39A,8,3,66,41,2.66666666666667,1.60975609756098,4.01101928374656,29.0748898678414,0.461498840484034,0.425939355671607
1,DNAJB1,5,10,40,47,0.5,0.851063829787234,2.5068870523416,17.6211453744493,0.357181551968444,0.791426944003478
1,GIPC1,11,2,69,29,5.5,2.37931034482759,5.51515151515151,30.3964757709251,0.25825859530241,0.189278873186936
1,NDUFB7,3,5,19,26,0.6,0.730769230769231,1.50413223140496,8.37004405286344,0.801918087557915,1
1,PKN1,18,12,133,96,1.5,1.38541666666667,9.02479338842975,58.590308370044,0.840655002739473,0.674094857855924
1,PTGER1,11,0,57,17,Inf,3.35294117647059,5.51515151515151,25.1101321585903,0.0212780193224859,0.0168775368186
1,TECR,15,7,61,26,2.14285714285714,2.34615384615385,7.52066115702479,26.8722466960352,0.860529661951757,0.895097121333873
1,ZNF333,24,13,126,43,1.84615384615385,2.93023255813953,12.0330578512397,55.5066079295154,0.239619611215721,0.443047783777204
2,ADGRE2,18,19,127,81,0.947368421052632,1.5679012345679,12.4137931034483,80.6609801324503,0.160205903214943,0.248580824218625
2,ADGRE3,36,11,117,74,3.27272727272727,1.58108108108108,24.8275862068965,74.3097218543046,0.0436204525679404,0.0334314073422893
2,ADGRE5,41,15,144,78,2.73333333333333,1.84615384615385,28.2758620689655,91.458119205298,0.229936517752633,0.180118029431431
2,CLEC17A,13,5,53,29,2.6,1.82758620689655,8.96551724137931,33.6616688741722,0.532868098187769,0.47877557108182
2,DDX39A,16,5,82,54,3.2,1.51851851851852,11.0344827586207,52.0803178807947,0.149678999282548,0.136895152463031
2,DNAJB1,13,10,57,55,1.3,1.03636363636364,8.96551724137931,36.2021721854305,0.622112096368036,0.531263801224121
2,GIPC1,10,8,60,20,1.25,3,6.89655172413793,38.1075496688742,0.109834606133749,0.185899292724487
2,NDUFB7,4,7,18,37,0.571428571428571,0.486486486486487,2.75862068965517,11.4322649006623,0.816361283342179,0.660601401816187
2,PKN1,17,18,139,92,0.944444444444444,1.51086956521739,11.7241379310345,88.2824900662252,0.19714171763355,0.366262307161193
2,PTGER1,5,4,36,8,1.25,4.5,3.44827586206897,22.8645298013245,0.106144508427325,0.121244489356673
2,TECR,16,10,27,49,1.6,0.551020408163265,11.0344827586207,17.1483973509934,0.0208718773443945,0.0261872349408609
2,ZNF333,30,10,129,47,3,2.74468085106383,20.6896551724138,81.9312317880795,0.824481682932051,0.661880823228525
3,ADGRE2,23,18,95,114,1.27777777777778,0.833333333333333,9.47058823529412,46.0810810810811,0.212174597896952,0.64115738552181
3,ADGRE3,32,11,104,40,2.90909090909091,2.6,13.1764705882353,50.4466571834993,0.77554853375328,0.903637913644384
3,ADGRE5,47,15,184,88,3.13333333333333,2.09090909090909,19.3529411764706,89.2517780938834,0.201280273782566,0.550016260829299
3,CLEC17A,9,9,83,45,1,1.84444444444444,3.70588235294118,40.2603129445235,0.228868872474742,0.267645840225264
3,DDX39A,20,7,107,31,2.85714285714286,3.45161290322581,8.23529411764706,51.9018492176387,0.699166205086707,0.500460170454407
3,DNAJB1,10,11,28,59,0.909090909090909,0.474576271186441,4.11764705882353,13.5817923186344,0.19036677433922,0.527978573078647
3,GIPC1,11,2,58,21,5.5,2.76190476190476,4.52941176470588,28.1337126600285,0.366399572568367,0.469398684194818
3,NDUFB7,9,1,31,9,9,3.44444444444444,3.70588235294118,15.0369843527738,0.346706322228362,0.438516301219889
3,PKN1,34,35,161,145,0.971428571428571,1.11034482758621,14,78.0953058321479,0.616149896539118,0.385502290476273
3,PTGER1,13,11,63,31,1.18181818181818,2.03225806451613,5.35294117647059,30.5590327169275,0.246256996961667,0.176747873335826
3,TECR,12,6,22,21,2,1.04761904761905,4.94117647058823,10.6714082503556,0.262220603680481,0.515672007631386
3,ZNF333,30,3,145,52,10,2.78846153846154,12.3529411764706,70.3342816500711,0.0187078405596615,0.0787143458064028
4,ADGRE2,13,16,103,91,0.8125,1.13186813186813,8.24150943396226,76.9750889679715,0.406057098083519,0.244302213384273
4,ADGRE3,21,14,79,66,1.5,1.1969696969697,13.3132075471698,59.0391459074733,0.554253425999803,0.943227994819935
4,ADGRE5,37,14,144,101,2.64285714285714,1.42574257425743,23.4566037735849,107.615658362989,0.0613003212014048,0.236654782519591
4,CLEC17A,15,5,64,45,3,1.42222222222222,9.50943396226415,47.8291814946619,0.158764596099524,0.273841382113408
4,DDX39A,12,8,79,63,1.5,1.25396825396825,7.60754716981132,59.0391459074733,0.711659476785265,0.938035680342683
4,DNAJB1,11,7,47,29,1.57142857142857,1.62068965517241,6.97358490566038,35.1245551601423,0.95428700475265,0.750409072359574
4,GIPC1,2,8,45,37,0.25,1.21621621621622,1.26792452830189,33.6298932384342,0.0321000779702067,0.0251144847657169
4,NDUFB7,5,1,15,6,5,2.5,3.16981132075472,11.2099644128114,0.543494976827356,0.689004779873888
