rep,gene,case_fun,case_syn,control_fun,control_syn,case_ratio,control_ratio,case_fun_w,control_fun_w,prox,prox_w
1,ADGRE2,24,20,164,87,1.2,1.88505747126437,12.3832923832924,85.6863417982155,0.174725588516745,0.202546247815214
1,ADGRE3,42,16,112,69,2.625,1.6231884057971,21.6707616707617,58.5175017158545,0.139118723382401,0.200744211871954
1,ADGRE5,27,20,137,120,1.35,1.14166666666667,13.9312039312039,71.5794440631434,0.599952693884636,0.68523346609725
1,CLEC17A,14,6,90,46,2.33333333333333,1.95652173913043,7.22358722358722,47.0229924502402,0.732896548426322,0.827709820913373
1,DDX39A,8,3,68,35,2.66666666666667,1.94285714285714,4.12776412776413,35.5284831846259,0.648723394818937,0.748472457559621
1,DNAJB1,5,10,42,39,0.5,1.07692307692308,2.57985257985258,21.9440631434454,0.183573126202366,0.369269994140863
1,GIPC1,11,2,59,26,5.5,2.26923076923077,5.67567567567568,30.8261839396019,0.233705581118145,0.257937137491319
1,NDUFB7,3,5,22,20,0.6,1.1,1.54791154791155,11.4945092656143,0.438342633333786,0.887192960782142
1,PKN1,18,12,146,95,1.5,1.53684210526316,9.28746928746929,76.2817433081675,0.951085839469397,0.900665881116456
1,PTGER1,15,0,67,21,Inf,3.19047619047619,7.73955773955774,35.0060054907344,0.0062744379584726,0.00857487196675395
1,TECR,15,7,84,27,2.14285714285714,3.11111111111111,7.73955773955774,43.8881262868909,0.470112917795834,0.538476619957346
1,ZNF333,26,15,151,71,1.73333333333333,2.12676056338028,13.4152334152334,78.8941317776253,0.566725124834495,0.547892278832575
2,ADGRE2,18,19,121,76,0.947368421052632,1.59210526315789,11.5714285714286,77.526407141086,0.149772265535237,0.223971038401874
2,ADGRE3,39,11,138,73,3.54545454545455,1.89041095890411,25.0714285714286,88.4185469873543,0.078311912234222,0.0999953741156165
2,ADGRE5,41,15,163,70,2.73333333333333,2.32857142857143,26.3571428571429,104.436399702455,0.62860240607847,0.667030246077343
2,CLEC17A,13,5,52,34,2.6,1.52941176470588,8.35714285714286,33.3171336474089,0.340390479641403,0.416050496553708
2,DDX39A,16,5,83,57,3.2,1.45614035087719,10.2857142857143,53.1792710141334,0.126365547571575,0.17551264350778
2,DNAJB1,13,11,69,52,1.18181818181818,1.32692307692308,8.35714285714286,44.2092734936772,0.796680821030524,0.77289803146731
2,GIPC1,10,8,45,22,1.25,2.04545454545455,6.42857142857143,28.8321348871808,0.365682186501919,0.356659956667235
2,NDUFB7,4,3,12,24,1.33333333333333,0.5,2.57142857142857,7.6885693032482,0.240878300958236,0.234563341710477
2,PKN1,17,21,145,123,0.80952380952381,1.17886178861789,10.9285714285714,92.9035457475825,0.279318529515715,0.348738837326668
2,PTGER1,5,4,48,10,1.25,4.8,3.21428571428571,30.7542772129928,0.0835443860847184,0.0927603478053236
2,TECR,16,9,29,33,1.77777777777778,0.878787878787879,10.2857142857143,18.5807091495165,0.143387415077035,0.226033400271828
2,ZNF333,30,13,148,74,2.30769230769231,2,19.2857142857143,94.8256880733945,0.690192783459399,0.742148488737508
3,ADGRE2,28,18,136,112,1.55555555555556,1.21428571428571,11.7530864197531,61.0612244897959,0.447568131122234,0.621679273885292
3,ADGRE3,32,11,130,55,2.90909090909091,2.36363636363636,13.4320987654321,58.3673469387755,0.585451255606262,0.805249665662187
3,ADGRE5,47,17,184,88,2.76470588235294,2.09090909090909,19.7283950617284,82.6122448979592,0.36301052784447,0.543010638016416
3,CLEC17A,9,9,79,65,1,1.21538461538462,3.77777777777778,35.469387755102,0.696748546503876,0.776502442292705
3,DDX39A,20,7,84,20,2.85714285714286,4.2,8.39506172839506,37.7142857142857,0.452954011174219,0.391488220353983
3,DNAJB1,12,15,52,65,0.8,0.8,5.03703703703704,23.3469387755102,1,0.917004327585079
3,GIPC1,11,2,80,27,5.5,2.96296296296296,4.61728395061728,35.9183673469388,0.413012174727755,0.46076498954325
3,NDUFB7,9,1,20,6,9,3.33333333333333,3.77777777777778,8.97959183673469,0.349522913881697,0.401962599381477
3,PKN1,34,37,120,147,0.918918918918919,0.816326530612245,14.2716049382716,53.8775510204082,0.658313375779421,0.953993740439084
3,PTGER1,13,7,71,14,1.85714285714286,5.07142857142857,5.45679012345679,31.8775510204082,0.0768600842600035,0.0794007969506708
3,TECR,12,6,26,16,2,1.625,5.03703703703704,11.6734693877551,0.724701442048768,0.890091488448685
3,ZNF333,30,3,151,45,10,3.35555555555556,12.5925925925926,67.7959183673469,0.0499046025671803,0.087754916743032
4,ADGRE2,15,19,111,105,0.789473684210526,1.05714285714286,7.52613240418119,72.9275362318841,0.430168762101453,0.255449850883269
4,ADGRE3,21,12,117,57,1.75,2.05263157894737,10.5365853658537,76.8695652173913,0.688816328891994,0.394249473796193
4,ADGRE5,40,15,146,118,2.66666666666667,1.23728813559322,20.0696864111498,95.9227053140097,0.0149692509344262,0.177225858483392
4,CLEC17A,15,5,44,39,3,1.12820512820513,7.52613240418119,28.9082125603865,0.0675482826430699,0.211386404752346
4,DDX39A,15,8,54,62,1.875,0.870967741935484,7.52613240418119,35.4782608695652,0.0997475566395632,0.298149037152423
4,DNAJB1,11,7,49,28,1.57142857142857,1.75,5.5191637630662,32.1932367149758,0.841952024918334,0.655883403365377
4,GIPC1,2,8,62,31,0.25,2,1.00348432055749,40.7342995169082,0.00405360599322737,0.00623894556978228
4,NDUFB7,5,1,19,4,5,4.75,2.50871080139373,12.4830917874396,0.966509933423951,1
4,PKN1,37,14,187,96,2.64285714285714,1.94791666666667,18.5644599303136,122.859903381643,0.359134003044673,0.88786636323197
4,PTGER1,14,9,66,51,1.55555555555556,1.29411764705882,7.02439024390244,43.3623188405797,0.691819467787322,0.882321595352891
4,TECR,12,2,44,36,6,1.22222222222222,6.02090592334495,28.9082125603865,0.0218459279000439,0.0987958179079457
4,ZNF333,19,9,167,27,2.11111111111111,6.18518518518519,9.53310104529617,109.719806763285,0.0240772280746818,0.0123986268817911
5,ADGRE2,43,24,194,115,1.79166666666667,1.68695652173913,24.3232323232323,127.340182648402,0.829804590243467,0.754968406324982
5,ADGRE3,25,14,99,46,1.78571428571429,2.15217391304348,14.1414141414141,64.9828767123288,0.623683231103926,0.41570430210883
5,ADGRE5,36,15,142,105,2.4,1.35238095238095,20.3636363636364,93.2077625570776,0.0777112496398925,0.266906560509547
5,CLEC17A,12,4,54,7,3,7.71428571428571,6.78787878787879,35.445205479452,0.1936542239053,0.172373555622311
5,DDX39A,16,10,76,29,1.6,2.62068965517241,9.05050505050505,49.8858447488584,0.287505581789409,0.207048728094152
5,DNAJB1,8,7,51,44,1.14285714285714,1.15909090909091,4.52525252525253,33.4760273972603,0.979798266859611,1
5,GIPC1,18,17,62,53,1.05882352941176,1.16981132075472,10.1818181818182,40.6963470319635,0.796528798418349,0.541478718387367
5,NDUFB7,11,2,61,12,5.5,5.08333333333333,6.22222222222222,40.0399543378995,0.923990979287034,0.910958307264525
5,PKN1,18,24,103,102,0.75,1.00980392156863,10.1818181818182,67.6084474885845,0.382160954226047,0.239788838088787
5,PTGER1,11,14,58,72,0.785714285714286,0.805555555555556,6.22222222222222,38.0707762557078,0.954770157897283,0.694397170414434
5,TECR,14,8,34,25,1.75,1.36,7.91919191919192,22.3173515981735,0.623011580467559,0.828611957115415
5,ZNF333,24,7,120,39,3.42857142857143,3.07692307692308,13.5757575757576,78.7671232876712,0.815712603294366,1
6,ADGRE2,19,18,98,110,1.05555555555556,0.890909090909091,6.75555555555556,49.8320901444215,0.634746494400092,0.746950604004735
6,ADGRE3,18,21,105,62,0.857142857142857,1.69354838709677,6.4,53.3915251547373,0.0573637347857526,0.0196815866625737
6,ADGRE5,45,11,148,83,4.09090909090909,1.78313253012048,16,75.2566259323917,0.0158064167515541,0.256456580948355
6,CLEC17A,21,8,70,36,2.625,1.94444444444444,7.46666666666667,35.5943501031582,0.511728694182363,0.84668507946528
6,DDX39A,19,3,72,16,6.33333333333333,4.5,6.75555555555556,36.611331534677,0.60566431661647,1
6,DNAJB1,21,7,100,60,3,1.66666666666667,7.46666666666667,50.8490715759403,0.192150628126104,0.794169501832496
6,GIPC1,4,8,75,34,0.5,2.20588235294118,1.42222222222222,38.1368036819552,0.0172588555731723,0.0128333210176536
6,NDUFB7,5,3,30,1,1.66666666666667,30,1.77777777777778,15.2547214727821,NA,NA
6,PKN1,34,28,177,89,1.21428571428571,1.98876404494382,12.0888888888889,90.0028566894144,0.086966807632376,0.0183796041950629
6,PTGER1,12,1,68,53,12,1.28301886792453,4.26666666666667,34.5773686716394,0.00534667698574723,0.0736657583764256
6,TECR,12,2,88,26,6,3.38461538461538,4.26666666666667,44.7471829868275,0.447076112990081,0.887287146044956
6,ZNF333,29,9,131,53,3.22222222222222,2.47169811320755,10.3111111111111,66.6122837644818,0.516235295566362,0.80266955998715
7,ADGRE2,48,19,185,90,2.52631578947368,2.05555555555556,23.1724137931035,127.932203389831,0.487858497423321,0.635750904061405
7,ADGRE3,34,3,148,24,11.3333333333333,6.16666666666667,16.4137931034483,102.345762711864,0.312122450329754,0.730235426873456
7,ADGRE5,45,41,172,159,1.09756097560976,1.08176100628931,21.7241379310345,118.942372881356,0.952279589857441,0.248063832568903
7,CLEC17A,15,7,53,42,2.14285714285714,1.26190476190476,7.24137931034483,36.6508474576271,0.282666418309611,0.837487377653341
7,DDX39A,16,7,47,31,2.28571428571429,1.51612903225806,7.72413793103448,32.5016949152542,0.412991549416624,0.905340665008717
7,DNAJB1,4,9,42,31,0.444444444444444,1.35483870967742,1.93103448275862,29.0440677966102,0.0728120859563363,0.0531591544724662
7,GIPC1,6,11,24,42,0.545454545454545,0.571428571428571,2.89655172413793,16.5966101694915,0.934680967859952,0.570178555172178
7,NDUFB7,2,1,21,14,2,1.5,0.96551724137931,14.5220338983051,0.818927519347782,0.962418547457138
7,PKN1,40,29,168,127,1.37931034482759,1.32283464566929,19.3103448275862,116.176271186441,0.877206312505058,0.29919410487399
7,PTGER1,13,5,71,51,2.6,1.3921568627451,6.27586206896552,49.0983050847458,0.247286651722221,0.731541903021332
7,TECR,8,13,37,23,0.615384615384615,1.60869565217391,3.86206896551724,25.5864406779661,0.0614840782522095,0.0309972156633166
7,ZNF333,21,7,135,40,3,3.375,10.1379310344828,93.3559322033898,0.804349485838093,0.362769121321432
8,ADGRE2,22,14,148,91,1.57142857142857,1.62637362637363,12.5503355704698,89.9593886929571,0.925445449656445,0.898828659282627
