goodness.of.fit iterations time filtered maf_afr maf_nfe
0.473055174851916 4 0.244986295700073 0 0.800436 0.199564
0.445328955989144 6 0.116756439208984 0 0.830928 0.169072
0.559544758632182 15 0.131839513778687 0 0.804738 0.195262
0.41087777882291 10 0.135998487472534 0 0.805348 0.194652
0.477711414869031 4 0.0954115390777588 0 0.810079 0.189921
0.501122255927434 4 0.126951217651367 0 0.798154 0.201846
0.619255827234075 4 0.118501901626587 0 0.817734 0.182266
0.401285002275109 8 0.130066156387329 0 0.806692 0.193308
0.36488288933499 4 0.109108924865723 0 0.829539 0.170461
0.423871513037187 4 0.0991020202636719 0 0.788473 0.211527
0.673009111712863 4 0.1245436668396 0 0.789535 0.210465
0.437479806249275 15 0.149234056472778 0 0.796663 0.203337
0.47369116459451 4 0.122900724411011 0 0.815171 0.184829
0.413127508363615 4 0.1318519115448 0 0.809057 0.190943
0.465911347187155 4 0.0956003665924072 0 0.791708 0.208292
0.47175898553337 4 0.125064611434937 0 0.798861 0.201139
0.634767284255075 6 0.101047992706299 0 0.798363 0.201637
0.538213448018548 6 0.14157772064209 0 0.829548 0.170452
0.379379709416723 4 0.126867294311523 0 0.820174 0.179826
0.506776328733371 9 0.113873958587646 0 0.806031 0.193969
0.415585385214817 4 0.123839855194092 0 0.79582 0.20418
0.54885936068881 4 0.109014272689819 0 0.79343 0.20657
0.445284581697735 4 0.0964734554290771 0 0.793355 0.206645
0.392796762708731 4 0.0976953506469727 0 0.802974 0.197026
0.379377751103469 4 0.113132476806641 0 0.839437 0.160563
0.581998164560683 8 0.109651327133179 0 0.776046 0.223954
0.708469840615348 6 0.101027488708496 0 0.799173 0.200827
0.40853532242258 4 0.114794492721558 0 0.805617 0.194383
0.721479127930298 15 0.146714210510254 0 0.791552 0.208448
0.488793505459191 4 0.0948050022125244 0 0.829892 0.170108
0.437070903113944 15 0.147618770599365 0 0.82041 0.17959
0.313727785195259 4 0.0950491428375244 0 0.805673 0.194327
0.336211541166436 15 0.165970325469971 0 0.807777 0.192223
0.536114117904823 15 0.153650045394897 0 0.815154 0.184846
0.40005060301793 4 0.0928792953491211 0 0.825731 0.174269
0.549865399632005 8 0.133419036865234 0 0.808301 0.191699
0.421822939658911 4 0.0958099365234375 0 0.785449 0.214551
0.568860493767291 4 0.13690710067749 0 0.793087 0.206913
0.544108988861746 4 0.117528676986694 0 0.813855 0.186145
0.562754224049344 4 0.116007804870605 0 0.798855 0.201145
0.406025521331148 15 0.14593768119812 0 0.797364 0.202636
0.37406647167979 6 0.113465785980225 0 0.799307 0.200693
0.769403761937535 4 0.0965545177459717 0 0.831329 0.168671
0.494801157061195 4 0.102566003799438 0 0.789975 0.210025
0.409196621135704 4 0.122493505477905 0 0.813602 0.186398
0.428745112076528 4 0.0975484848022461 0 0.795097 0.204903
0.699094196804573 6 0.131733894348145 0 0.790193 0.209807
0.37455465020579 4 0.0982265472412109 0 0.841614 0.158386
0.452657635260294 4 0.126874685287476 0 0.824316 0.175684
0.377036765831213 15 0.180904626846313 0 0.838757 0.161243
0.601644445948416 4 0.128443241119385 0 0.813614 0.186386
0.850967142407267 4 0.126048564910889 0 0.80092 0.19908
0.322654845398566 15 0.15278959274292 0 0.806368 0.193632
0.909842555788935 4 0.0951614379882812 0 0.791126 0.208874
0.412392584771061 4 0.121745586395264 0 0.808944 0.191056
0.67138273347007 6 0.131480693817139 0 0.813772 0.186228
0.505044526040704 15 0.170536756515503 0 0.80676 0.19324
0.301998176746316 15 0.173498868942261 0 0.825175 0.174825
0.5004479565512 4 0.133352518081665 0 0.799882 0.200118
0.441837874819897 15 0.154225826263428 0 0.807156 0.192844
0.569248130860722 4 0.0999128818511963 0 0.797013 0.202987
0.326673735297331 4 0.0970489978790283 0 0.807827 0.192173
0.45074976218395 4 0.13494086265564 0 0.811911 0.188089
0.520898238401562 4 0.0953717231750488 0 0.805678 0.194322
0.413350113146327 4 0.0995216369628906 0 0.808664 0.191336
0.431095605979021 4 0.138973712921143 0 0.787288 0.212712
0.451091012510863 15 0.165088176727295 0 0.821422 0.178578
0.361174118281901 4 0.143059968948364 0 0.806883 0.193117
0.470060525053012 4 0.0964720249176025 0 0.798553 0.201447
0.695535040584542 4 0.124046802520752 0 0.796011 0.203989
0.403672951777039 4 0.0939474105834961 0 0.820283 0.179717
0.465214283829647 4 0.125295877456665 0 0.813662 0.186338
0.362414324437079 4 0.122442007064819 0 0.829351 0.170649
0.410170609679454 15 0.136987924575806 0 0.795693 0.204307
0.644876655804609 9 0.155904054641724 0 0.79944 0.20056
0.508248083342338 4 0.0950520038604736 0 0.836567 0.163433
0.398888717760118 4 0.114086151123047 0 0.810271 0.189729
0.284604486587012 15 0.155542612075806 0 0.817352 0.182648
0.614156623360217 15 0.133812427520752 0 0.799512 0.200488
0.376954058828321 4 0.11334490776062 0 0.818069 0.181931
0.374473678972268 8 0.111164808273315 0 0.82065 0.17935
0.446884968276239 4 0.103411436080933 0 0.789344 0.210656
0.331458627039448 6 0.115740299224854 0 0.840191 0.159809
0.505356820147516 4 0.107840776443481 0 0.799529 0.200471
0.607587533448654 6 0.103788375854492 0 0.804608 0.195392
0.407505638201352 4 0.131491899490356 0 0.828688 0.171312
0.537800348374489 4 0.122918367385864 0 0.787469 0.212531
0.410341775060456 4 0.117796659469604 0 0.779401 0.220599
0.430755659321241 4 0.117208480834961 0 0.802216 0.197784
0.372888205362503 4 0.120993852615356 0 0.795556 0.204444
0.450004027573752 4 0.0938951969146729 0 0.787625 0.212375
0.365920248057153 4 0.124964714050293 0 0.820029 0.179971
0.65572605192376 4 0.125097990036011 0 0.787458 0.212542
0.467515229208984 4 0.0988736152648926 0 0.786397 0.213603
0.42191279877986 4 0.124450922012329 0 0.798249 0.201751
0.508495215472918 4 0.133401155471802 0 0.807885 0.192115
0.605101190695314 4 0.095893383026123 0 0.808677 0.191323
0.524480765667642 4 0.117981433868408 0 0.811306 0.188694
0.60355856511943 6 0.101801872253418 0 0.822009 0.177991
0.501028949593898 4 0.124593496322632 0 0.828427 0.171573
