Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
664,303,1383,636,1328,606,55,30,2.19141914191419,2.17452830188679,0.926831154876113
598,309,1205,585,1196,618,9,-33,1.93527508090615,2.05982905982906,0.470301041070123
545,332,1153,663,1090,664,63,-1,1.64156626506024,1.73906485671192,0.497542749978193
609,264,1099,628,1218,528,-119,100,2.30681818181818,1.75,0.00179331833011493
583,287,1179,631,1166,574,13,57,2.03135888501742,1.86846275752773,0.337848160006671
608,313,1190,646,1216,626,-26,20,1.94249201277955,1.84210526315789,0.53214232076544
577,336,1231,686,1154,672,77,14,1.7172619047619,1.79446064139942,0.598885808534599
640,276,1276,649,1280,552,-4,97,2.31884057971015,1.96610169491525,0.0558773337979348
633,301,1262,687,1266,602,-4,85,2.10299003322259,1.83697234352256,0.10868469898728
596,302,1244,625,1192,604,52,21,1.97350993377483,1.9904,0.921061323778056
589,352,1185,613,1178,704,7,-91,1.67329545454545,1.93311582381729,0.0853484578611078
556,315,1273,588,1112,630,161,-42,1.76507936507937,2.16496598639456,0.0184221208585387
593,288,1244,622,1186,576,58,46,2.05902777777778,2,0.737995793898702
592,328,1173,694,1184,656,-11,38,1.80487804878049,1.69020172910663,0.433209329071606
581,324,1187,658,1162,648,25,10,1.79320987654321,1.80395136778116,0.943776155627368
654,294,1221,613,1308,588,-87,25,2.22448979591837,1.99184339314845,0.197450242128914
609,287,1202,610,1218,574,-16,36,2.1219512195122,1.97049180327869,0.394829158301851
618,335,1258,675,1236,670,22,5,1.84477611940299,1.8637037037037,0.902068424981406
645,334,1181,657,1290,668,-109,-11,1.9311377245509,1.79756468797565,0.388085432341298
606,310,1241,591,1212,620,29,-29,1.95483870967742,2.09983079526227,0.40530554219851
567,288,1096,636,1134,576,-38,60,1.96875,1.72327044025157,0.128622791037225
583,271,1200,669,1166,542,34,127,2.15129151291513,1.79372197309417,0.0378886596037616
584,322,1231,713,1168,644,63,69,1.81366459627329,1.72650771388499,0.556682199637404
594,292,1126,682,1188,584,-62,98,2.03424657534247,1.65102639296188,0.0152334174741453
631,292,1193,590,1262,584,-69,6,2.16095890410959,2.02203389830509,0.443598204429315
620,320,1131,707,1240,640,-109,67,1.9375,1.5997171145686,0.0219117079025776
618,317,1224,642,1236,634,-12,8,1.94952681388013,1.90654205607477,0.791912702333728
510,320,1211,622,1020,640,191,-18,1.59375,1.94694533762058,0.0213224851899894
602,273,1221,562,1204,546,17,16,2.20512820512821,2.17259786476868,0.867348959648483
657,349,1253,666,1314,698,-61,-32,1.88252148997135,1.88138138138138,0.994088973522111
613,249,1164,591,1226,498,-62,93,2.46184738955823,1.96954314720812,0.0131927938297047
624,313,1189,625,1248,626,-59,-1,1.99361022364217,1.9024,0.581699885122412
539,312,1108,632,1078,624,30,8,1.7275641025641,1.75316455696203,0.865552860283639
527,365,1175,707,1054,730,121,-23,1.44383561643836,1.66195190947666,0.090851335911542
613,299,1184,678,1226,598,-42,80,2.05016722408027,1.74631268436578,0.059510962118723
562,252,1199,532,1124,504,75,28,2.23015873015873,2.25375939849624,0.908910084681478
553,328,1162,693,1106,656,56,37,1.6859756097561,1.67676767676768,0.948394587141788
605,291,1199,657,1210,582,-11,75,2.07903780068729,1.82496194824962,0.129817057818552
