Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
418,136,138,58,29,26,0,1,RAREsim functional-90%
419,142,134,52,27,21,0,2,RAREsim functional-90%
433,144,132,51,26,23,0,3,RAREsim functional-90%
426,138,130,52,26,27,0,4,RAREsim functional-90%
435,138,129,52,29,22,0,5,RAREsim functional-90%
430,136,135,58,28,24,0,6,RAREsim functional-90%
441,140,130,54,28,25,0,7,RAREsim functional-90%
433,142,129,54,29,25,0,8,RAREsim functional-90%
451,149,128,58,31,25,0,9,RAREsim functional-90%
442,141,126,54,31,25,0,10,RAREsim functional-90%
441,142,131,56,25,24,0,11,RAREsim functional-90%
422,136,133,54,28,27,0,12,RAREsim functional-90%
428,141,131,52,27,25,0,13,RAREsim functional-90%
433,136,129,54,26,24,0,14,RAREsim functional-90%
432,134,132,55,28,26,0,15,RAREsim functional-90%
429,141,135,55,27,27,0,16,RAREsim functional-90%
439,137,130,53,31,27,0,17,RAREsim functional-90%
431,142,126,54,30,23,0,18,RAREsim functional-90%
433,141,123,53,25,22,0,19,RAREsim functional-90%
438,141,129,57,29,27,0,20,RAREsim functional-90%
438,135,132,53,25,19,0,21,RAREsim functional-90%
430,150,128,56,28,25,0,22,RAREsim functional-90%
438,140,132,50,27,26,0,23,RAREsim functional-90%
437,137,134,55,25,21,0,24,RAREsim functional-90%
437,137,130,51,29,27,0,25,RAREsim functional-90%
438,142,131,56,24,23,0,26,RAREsim functional-90%
430,140,128,54,29,26,1,27,RAREsim functional-90%
421,142,129,56,28,24,0,28,RAREsim functional-90%
440,134,137,51,27,25,0,29,RAREsim functional-90%
434,145,130,57,32,26,0,30,RAREsim functional-90%
423,139,129,51,26,26,0,31,RAREsim functional-90%
441,141,127,46,27,24,0,32,RAREsim functional-90%
427,143,121,54,26,21,0,33,RAREsim functional-90%
420,146,128,48,28,19,0,34,RAREsim functional-90%
434,140,127,54,27,26,0,35,RAREsim functional-90%
428,131,136,54,28,24,0,36,RAREsim functional-90%
432,136,129,53,28,23,0,37,RAREsim functional-90%
432,141,124,53,28,23,0,38,RAREsim functional-90%
437,140,132,55,26,24,0,39,RAREsim functional-90%
428,136,131,52,29,27,0,40,RAREsim functional-90%
428,143,128,56,30,26,0,41,RAREsim functional-90%
434,140,135,55,26,25,0,42,RAREsim functional-90%
436,141,134,56,26,26,0,43,RAREsim functional-90%
434,139,135,54,27,24,0,44,RAREsim functional-90%
444,141,129,54,25,24,0,45,RAREsim functional-90%
447,137,130,56,27,24,0,46,RAREsim functional-90%
437,143,128,50,28,24,0,47,RAREsim functional-90%
425,137,135,57,27,24,0,48,RAREsim functional-90%
423,140,131,56,28,26,0,49,RAREsim functional-90%
422,140,128,49,23,27,0,50,RAREsim functional-90%
436,137,132,53,28,25,1,51,RAREsim functional-90%
441,139,130,49,28,23,0,52,RAREsim functional-90%
433,139,133,48,27,25,0,53,RAREsim functional-90%
440,133,132,55,23,23,0,54,RAREsim functional-90%
429,138,128,55,28,26,0,55,RAREsim functional-90%
435,140,130,53,28,22,0,56,RAREsim functional-90%
437,138,132,52,27,26,0,57,RAREsim functional-90%
433,139,128,56,25,26,0,58,RAREsim functional-90%
438,138,127,51,28,25,0,59,RAREsim functional-90%
430,143,131,52,28,26,0,60,RAREsim functional-90%
430,141,129,55,28,22,0,61,RAREsim functional-90%
423,144,126,54,28,25,0,62,RAREsim functional-90%
438,132,127,55,28,23,0,63,RAREsim functional-90%
433,132,127,57,27,25,0,64,RAREsim functional-90%
441,140,125,52,30,26,0,65,RAREsim functional-90%
442,146,129,54,26,23,0,66,RAREsim functional-90%
427,140,122,56,21,24,0,67,RAREsim functional-90%
440,135,132,54,27,24,1,68,RAREsim functional-90%
435,142,131,56,25,27,0,69,RAREsim functional-90%
427,134,130,53,30,24,0,70,RAREsim functional-90%
431,137,129,54,26,22,1,71,RAREsim functional-90%
431,137,132,53,29,23,0,72,RAREsim functional-90%
433,146,131,53,29,24,0,73,RAREsim functional-90%
438,140,129,58,27,23,0,74,RAREsim functional-90%
440,143,132,58,26,24,0,75,RAREsim functional-90%
436,144,124,53,28,25,0,76,RAREsim functional-90%
440,145,128,56,27,24,0,77,RAREsim functional-90%
427,138,132,52,28,24,0,78,RAREsim functional-90%
433,146,126,51,31,25,0,79,RAREsim functional-90%
439,143,131,53,27,27,0,80,RAREsim functional-90%
429,131,128,54,26,23,0,81,RAREsim functional-90%
431,145,128,53,28,26,0,82,RAREsim functional-90%
434,140,131,56,28,25,0,83,RAREsim functional-90%
432,137,129,51,29,26,0,84,RAREsim functional-90%
427,144,129,53,29,22,0,85,RAREsim functional-90%
422,139,132,50,30,23,0,86,RAREsim functional-90%
450,141,134,54,29,24,0,87,RAREsim functional-90%
438,145,131,52,28,26,0,88,RAREsim functional-90%
436,142,124,49,29,25,0,89,RAREsim functional-90%
437,137,127,53,30,26,0,90,RAREsim functional-90%
414,140,125,52,30,24,0,91,RAREsim functional-90%
426,145,130,53,25,22,0,92,RAREsim functional-90%
435,139,128,58,26,25,0,93,RAREsim functional-90%
426,143,131,54,25,23,0,94,RAREsim functional-90%
441,133,131,54,28,23,0,95,RAREsim functional-90%
438,143,131,52,26,22,0,96,RAREsim functional-90%
441,138,126,51,26,25,0,97,RAREsim functional-90%
431,134,130,56,27,22,0,98,RAREsim functional-90%
434,141,134,55,27,22,0,99,RAREsim functional-90%
443,140,130,55,27,27,0,100,RAREsim functional-90%
