Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
563,292,1024,511,1126,584,-102,-73,1.92808219178082,2.00391389432485,0.669030802931385
485,282,1049,517,970,564,79,-47,1.71985815602837,2.02901353965184,0.0735576494648866
558,314,1063,612,1116,628,-53,-16,1.77707006369427,1.73692810457516,0.79254139746348
517,263,1062,639,1034,526,28,113,1.96577946768061,1.66197183098592,0.0635000264678678
580,341,1080,592,1160,682,-80,-90,1.70087976539589,1.82432432432432,0.411681660611183
569,268,1087,480,1138,536,-51,-56,2.12313432835821,2.26458333333333,0.484484754081893
532,289,1070,521,1064,578,6,-57,1.84083044982699,2.05374280230326,0.227381311761033
546,231,1090,503,1092,462,-2,41,2.36363636363636,2.16699801192843,0.36064078453217
486,285,1052,542,972,570,80,-28,1.70526315789474,1.9409594095941,0.157613092299012
554,314,992,603,1108,628,-116,-25,1.76433121019108,1.64510779436153,0.423477882127683
559,337,1161,639,1118,674,43,-35,1.65875370919881,1.8169014084507,0.283169196610846
516,250,990,553,1032,500,-42,53,2.064,1.79023508137432,0.127223482947195
562,300,1011,610,1124,600,-113,10,1.87333333333333,1.65737704918033,0.163042615708524
522,318,1072,615,1044,636,28,-21,1.64150943396226,1.74308943089431,0.491878427527479
555,260,1039,494,1110,520,-71,-26,2.13461538461538,2.10323886639676,0.87335256182183
560,310,1167,573,1120,620,47,-47,1.80645161290323,2.03664921465969,0.170028313631012
569,266,1039,540,1138,532,-99,8,2.1390977443609,1.92407407407407,0.244798467294138
526,282,1071,552,1052,564,19,-12,1.86524822695035,1.94021739130435,0.663505143104115
514,295,1010,579,1028,590,-18,-11,1.74237288135593,1.74438687392055,0.989728844107093
489,285,1034,540,978,570,56,-30,1.71578947368421,1.91481481481481,0.231104500148537
510,240,1065,526,1020,480,45,46,2.125,2.02471482889734,0.609321598100088
569,284,1071,582,1138,568,-67,14,2.00352112676056,1.84020618556701,0.338917717941551
538,298,1091,639,1076,596,15,43,1.80536912751678,1.70735524256651,0.524194500950291
