Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
702,332,1471,689,1404,664,67,25,2.1144578313253,2.13497822931785,0.905156940767603
666,335,1336,651,1332,670,4,-19,1.98805970149254,2.05222734254992,0.699625747841385
621,352,1305,707,1242,704,63,3,1.76420454545455,1.84582743988685,0.578909818418941
637,294,1167,670,1274,588,-107,82,2.16666666666667,1.74179104477612,0.010366668371942
625,305,1260,674,1250,610,10,64,2.04918032786885,1.86943620178042,0.27690360959007
630,332,1279,687,1260,664,19,23,1.89759036144578,1.86171761280932,0.817393752338969
625,362,1341,716,1250,724,91,-8,1.72651933701657,1.87290502793296,0.313539651684935
677,294,1339,674,1354,588,-15,86,2.30272108843537,1.986646884273,0.0788515193594025
660,317,1310,723,1320,634,-10,89,2.0820189274448,1.8118948824343,0.0913650379244645
652,316,1320,643,1304,632,16,11,2.06329113924051,2.05287713841369,0.951807241866484
630,365,1290,627,1260,730,30,-103,1.72602739726027,2.05741626794258,0.0322465879374946
589,329,1355,620,1178,658,177,-38,1.790273556231,2.18548387096774,0.0181897369634086
644,312,1345,662,1288,624,57,38,2.06410256410256,2.03172205438066,0.850181226152259
632,346,1268,737,1264,692,4,45,1.82658959537572,1.72048846675712,0.461508828512876
635,340,1289,707,1270,680,19,27,1.86764705882353,1.82319660537482,0.768551472942353
689,301,1298,640,1378,602,-80,38,2.2890365448505,2.028125,0.150019083031866
662,300,1309,644,1324,600,-15,44,2.20666666666667,2.03260869565217,0.33069212952119
698,340,1382,689,1396,680,-14,9,2.05294117647059,2.00580551523948,0.773991445828418
692,355,1304,714,1384,710,-80,4,1.94929577464789,1.82633053221289,0.415899768258012
644,322,1306,641,1288,644,18,-3,2,2.03744149765991,0.824421137421568
627,312,1250,683,1254,624,-4,59,2.00961538461538,1.83016105417277,0.264846562502302
618,290,1281,723,1236,580,45,143,2.13103448275862,1.77178423236515,0.0291972398381348
644,347,1312,764,1288,694,24,70,1.85590778097983,1.71727748691099,0.335116254315185
635,305,1224,707,1270,610,-46,97,2.08196721311475,1.73125884016973,0.0277895812437629
683,307,1288,614,1366,614,-78,0,2.22475570032573,2.09771986970684,0.485599288488672
671,333,1277,725,1342,666,-65,59,2.01501501501502,1.76137931034483,0.098256951403417
671,329,1328,664,1342,658,-14,6,2.03951367781155,2,0.81224257497881
551,342,1301,672,1102,684,199,-12,1.61111111111111,1.9360119047619,0.0284644241097626
