Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
188,59,60,31,14,15,0,1,RAREsim synonymous-90%
184,63,64,30,15,18,0,2,RAREsim synonymous-90%
190,61,61,28,15,21,1,3,RAREsim synonymous-90%
182,63,64,27,14,16,0,4,RAREsim synonymous-90%
180,65,56,29,16,17,1,5,RAREsim synonymous-90%
187,58,56,28,19,15,0,6,RAREsim synonymous-90%
184,57,66,25,17,19,0,7,RAREsim synonymous-90%
184,63,68,28,11,20,0,8,RAREsim synonymous-90%
180,67,62,28,15,17,0,9,RAREsim synonymous-90%
186,58,63,28,17,14,1,10,RAREsim synonymous-90%
186,64,65,28,19,19,0,11,RAREsim synonymous-90%
185,60,64,31,12,19,1,12,RAREsim synonymous-90%
185,60,60,28,11,18,0,13,RAREsim synonymous-90%
183,59,62,28,17,20,0,14,RAREsim synonymous-90%
177,63,64,29,17,19,0,15,RAREsim synonymous-90%
181,56,62,28,16,18,1,16,RAREsim synonymous-90%
181,63,61,32,14,17,0,17,RAREsim synonymous-90%
189,66,63,27,17,18,0,18,RAREsim synonymous-90%
187,63,58,25,16,20,0,19,RAREsim synonymous-90%
184,60,59,31,17,17,0,20,RAREsim synonymous-90%
192,65,61,31,13,17,0,21,RAREsim synonymous-90%
177,57,64,30,16,15,0,22,RAREsim synonymous-90%
183,62,65,29,15,21,0,23,RAREsim synonymous-90%
187,64,62,29,13,18,0,24,RAREsim synonymous-90%
190,61,61,21,18,19,1,25,RAREsim synonymous-90%
179,69,62,30,21,21,1,26,RAREsim synonymous-90%
183,61,63,27,15,18,0,27,RAREsim synonymous-90%
194,60,63,29,16,19,0,28,RAREsim synonymous-90%
192,67,60,28,11,19,0,29,RAREsim synonymous-90%
185,60,66,30,14,18,0,30,RAREsim synonymous-90%
194,61,62,29,15,16,0,31,RAREsim synonymous-90%
185,63,60,29,15,18,1,32,RAREsim synonymous-90%
188,62,61,30,13,17,0,33,RAREsim synonymous-90%
179,60,67,33,13,23,0,34,RAREsim synonymous-90%
188,62,68,29,18,14,1,35,RAREsim synonymous-90%
177,61,61,25,15,14,1,36,RAREsim synonymous-90%
187,63,65,30,18,18,0,37,RAREsim synonymous-90%
182,62,63,32,16,22,0,38,RAREsim synonymous-90%
186,61,62,29,17,21,1,39,RAREsim synonymous-90%
176,59,55,31,19,20,0,40,RAREsim synonymous-90%
178,64,64,27,17,18,0,41,RAREsim synonymous-90%
183,61,73,24,19,17,0,42,RAREsim synonymous-90%
186,65,59,28,17,18,0,43,RAREsim synonymous-90%
185,61,61,33,17,18,0,44,RAREsim synonymous-90%
187,63,62,31,16,16,0,45,RAREsim synonymous-90%
186,59,61,27,19,20,0,46,RAREsim synonymous-90%
181,62,62,31,18,17,0,47,RAREsim synonymous-90%
187,61,63,33,16,20,0,48,RAREsim synonymous-90%
185,65,61,22,14,19,0,49,RAREsim synonymous-90%
191,60,60,28,15,17,1,50,RAREsim synonymous-90%
180,63,66,29,16,18,0,51,RAREsim synonymous-90%
182,64,62,27,18,18,0,52,RAREsim synonymous-90%
187,62,61,29,17,20,0,53,RAREsim synonymous-90%
186,60,66,29,18,18,0,54,RAREsim synonymous-90%
185,60,67,26,17,19,0,55,RAREsim synonymous-90%
188,65,63,28,15,21,1,56,RAREsim synonymous-90%
182,64,68,28,9,20,0,57,RAREsim synonymous-90%
189,65,63,26,18,19,0,58,RAREsim synonymous-90%
184,63,65,35,18,19,0,59,RAREsim synonymous-90%
185,58,59,31,16,19,0,60,RAREsim synonymous-90%
183,61,53,33,18,19,0,61,RAREsim synonymous-90%
180,61,65,29,15,20,1,62,RAREsim synonymous-90%
189,63,65,31,17,21,0,63,RAREsim synonymous-90%
182,60,62,27,16,19,0,64,RAREsim synonymous-90%
186,63,63,29,19,19,0,65,RAREsim synonymous-90%
192,62,64,29,20,19,0,66,RAREsim synonymous-90%
181,63,63,31,18,22,0,67,RAREsim synonymous-90%
185,61,66,28,18,16,0,68,RAREsim synonymous-90%
184,64,59,29,22,15,1,69,RAREsim synonymous-90%
173,61,61,30,16,15,0,70,RAREsim synonymous-90%
180,65,63,31,17,19,1,71,RAREsim synonymous-90%
182,60,61,30,14,20,0,72,RAREsim synonymous-90%
185,63,61,29,18,19,0,73,RAREsim synonymous-90%
190,60,61,28,18,13,0,74,RAREsim synonymous-90%
192,62,62,30,18,19,0,75,RAREsim synonymous-90%
182,62,64,29,16,19,0,76,RAREsim synonymous-90%
184,63,61,31,17,19,0,77,RAREsim synonymous-90%
179,59,62,25,15,21,1,78,RAREsim synonymous-90%
183,63,58,28,16,20,0,79,RAREsim synonymous-90%
185,64,64,28,16,19,0,80,RAREsim synonymous-90%
188,61,63,28,19,17,0,81,RAREsim synonymous-90%
185,62,62,30,15,17,0,82,RAREsim synonymous-90%
189,47,63,28,11,17,0,83,RAREsim synonymous-90%
179,64,62,23,16,17,0,84,RAREsim synonymous-90%
179,60,66,28,10,17,1,85,RAREsim synonymous-90%
175,62,65,27,16,18,0,86,RAREsim synonymous-90%
182,63,65,28,18,19,0,87,RAREsim synonymous-90%
184,63,64,29,17,18,1,88,RAREsim synonymous-90%
174,66,64,27,13,17,0,89,RAREsim synonymous-90%
186,60,67,31,17,19,0,90,RAREsim synonymous-90%
181,63,60,28,18,20,0,91,RAREsim synonymous-90%
178,61,62,30,14,19,0,92,RAREsim synonymous-90%
195,64,65,31,13,17,0,93,RAREsim synonymous-90%
182,60,63,26,14,20,0,94,RAREsim synonymous-90%
177,64,64,29,16,16,0,95,RAREsim synonymous-90%
183,64,62,29,14,20,0,96,RAREsim synonymous-90%
180,59,63,29,18,18,0,97,RAREsim synonymous-90%
190,59,64,29,15,14,1,98,RAREsim synonymous-90%
182,59,63,27,19,19,1,99,RAREsim synonymous-90%
189,63,65,30,14,19,0,100,RAREsim synonymous-90%
