Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
712,403,1471,689,1409.76,797.94,61.24,-108.94,1.76674937965261,2.13497822931785,0.0149122125522989
671,343,1336,651,1328.58,679.14,7.42000000000007,-28.14,1.95626822157434,2.05222734254992,0.558563840187046
650,357,1305,707,1287,706.86,18,0.139999999999986,1.82072829131653,1.84582743988685,0.865391455950585
644,295,1167,670,1275.12,584.1,-108.12,85.9,2.18305084745763,1.74179104477612,0.00787259228119236
644,353,1260,674,1275.12,698.94,-15.1199999999999,-24.9399999999999,1.82436260623229,1.86943620178042,0.765028277993314
634,359,1279,687,1255.32,710.82,23.6800000000001,-23.8200000000001,1.76601671309192,1.86171761280932,0.516293457837772
639,415,1341,716,1265.22,821.7,75.78,-105.7,1.53975903614458,1.87290502793296,0.0124431471879041
678,302,1339,674,1342.44,597.96,-3.44000000000005,76.04,2.24503311258278,1.986646884273,0.143239929510433
671,379,1310,723,1328.58,750.42,-18.5799999999999,-27.42,1.77044854881267,1.8118948824343,0.770276007110685
662,367,1320,643,1310.76,726.66,9.24000000000001,-83.66,1.80381471389646,2.05287713841369,0.110604030131635
650,389,1290,627,1287,770.22,3,-143.22,1.67095115681234,2.05741626794258,0.00990767711879548
590,375,1355,620,1168.2,742.5,186.8,-122.5,1.57333333333333,2.18548387096774,6.40673739549101e-05
647,318,1345,662,1281.06,629.64,63.9400000000001,32.36,2.03459119496855,2.03172205438066,0.986488679420749
655,383,1268,737,1296.9,758.34,-28.9000000000001,-21.34,1.71018276762402,1.72048846675712,0.939587293783179
653,356,1289,707,1292.94,704.88,-3.94000000000005,2.12,1.83426966292135,1.82319660537482,0.940266479846022
700,305,1298,640,1386,603.9,-88,36.1,2.29508196721311,2.028125,0.139465993415071
689,308,1309,644,1364.22,609.84,-55.22,34.16,2.23701298701299,2.03260869565217,0.251613141545936
706,343,1382,689,1397.88,679.14,-15.8799999999999,9.86000000000001,2.05830903790087,2.00580551523948,0.748601748057942
721,410,1304,714,1427.58,811.8,-123.58,-97.8,1.75853658536585,1.82633053221289,0.625282480239472
648,346,1306,641,1283.04,685.08,22.96,-44.08,1.8728323699422,2.03744149765991,0.306154902209356
634,344,1250,683,1255.32,681.12,-5.31999999999994,1.88,1.84302325581395,1.83016105417277,0.932053390780044
622,309,1281,723,1231.56,611.82,49.4400000000001,111.18,2.01294498381877,1.77178423236515,0.126373596596644
669,348,1312,764,1324.62,689.04,-12.6199999999999,74.96,1.92241379310345,1.71727748691099,0.158783951219715
635,346,1224,707,1257.3,685.08,-33.3,21.92,1.83526011560694,1.73125884016973,0.47548682125655
685,310,1288,614,1356.3,613.8,-68.3,0.200000000000045,2.20967741935484,2.09771986970684,0.536491946357967
695,350,1277,725,1376.1,693,-99.0999999999999,32,1.98571428571429,1.76137931034483,0.134914823064974
705,386,1328,664,1395.9,764.28,-67.9000000000001,-100.28,1.82642487046632,2,0.252079655641994
560,343,1301,672,1108.8,679.14,192.2,-7.13999999999999,1.63265306122449,1.9360119047619,0.0415277367387376
658,357,1322,585,1302.84,706.86,19.1600000000001,-121.86,1.84313725490196,2.25982905982906,0.0136063787470571
717,413,1336,751,1419.66,817.74,-83.6600000000001,-66.74,1.73607748184019,1.77896138482024,0.75072477475324
699,280,1307,631,1384.02,554.4,-77.02,76.6,2.49642857142857,2.07131537242472,0.0287027900942468
719,336,1283,653,1423.62,665.28,-140.62,-12.28,2.13988095238095,1.96477794793262,0.295389430690881
599,351,1235,667,1186.02,694.98,48.98,-27.98,1.70655270655271,1.85157421289355,0.324154421813951
619,410,1296,738,1225.62,811.8,70.3800000000001,-73.8,1.50975609756098,1.75609756097561,0.054921312852106
652,325,1272,710,1290.96,643.5,-18.96,66.5,2.00615384615385,1.79154929577465,0.169271593465316
634,325,1288,573,1255.32,643.5,32.6800000000001,-70.5,1.95076923076923,2.2478184991274,0.0950292242353152
617,390,1264,749,1221.66,772.2,42.3399999999999,-23.2,1.58205128205128,1.68758344459279,0.416666338092265
663,310,1284,710,1312.74,613.8,-28.74,96.2,2.13870967741935,1.80845070422535,0.0430077648602744
630,379,1312,717,1247.4,750.42,64.5999999999999,-33.42,1.6622691292876,1.82984658298466,0.229870399651119
727,354,1336,682,1439.46,700.92,-103.46,-18.92,2.05367231638418,1.95894428152493,0.555125086532491
677,331,1362,649,1340.46,655.38,21.54,-6.38,2.04531722054381,2.09861325115562,0.754728110572811
676,303,1262,691,1338.48,599.94,-76.48,91.0600000000001,2.23102310231023,1.82633863965268,0.0163999881888726
700,327,1331,694,1386,647.46,-55,46.54,2.14067278287462,1.9178674351585,0.177686820389191
629,360,1389,697,1245.42,712.8,143.58,-15.8,1.74722222222222,1.99282639885222,0.104094706761631
668,269,1238,662,1322.64,532.62,-84.6400000000001,129.38,2.48327137546468,1.87009063444109,0.00099326996214873
576,323,1237,707,1140.48,639.54,96.52,67.46,1.78328173374613,1.74964639321075,0.820596149522762
609,358,1232,681,1205.82,708.84,26.1800000000001,-27.84,1.70111731843575,1.80910425844347,0.45300928367352
664,353,1323,677,1314.72,698.94,8.27999999999997,-21.9399999999999,1.88101983002833,1.95420974889217,0.637944435978591
667,396,1311,660,1320.66,784.08,-9.66000000000008,-124.08,1.68434343434343,1.98636363636364,0.038113769906881
697,337,1295,686,1380.06,667.26,-85.06,18.74,2.06824925816024,1.88775510204082,0.261337384885769
673,421,1347,709,1332.54,833.58,14.46,-124.58,1.59857482185273,1.89985895627645,0.0262492173264009
656,396,1255,709,1298.88,784.08,-43.8799999999999,-75.08,1.65656565656566,1.77009873060649,0.402386512558778
658,330,1316,638,1302.84,653.4,13.1600000000001,-15.4,1.99393939393939,2.06269592476489,0.682869151988791
722,322,1306,755,1429.56,637.56,-123.56,117.44,2.24223602484472,1.72980132450331,0.00129211736327929
719,359,1333,685,1423.62,710.82,-90.6199999999999,-25.8200000000001,2.00278551532033,1.94598540145985,0.718703329431021
607,393,1250,635,1201.86,778.14,48.1400000000001,-143.14,1.54452926208651,1.96850393700787,0.00282178868881351
676,342,1379,630,1338.48,677.16,40.52,-47.16,1.9766081871345,2.18888888888889,0.213993656420156
658,344,1279,638,1302.84,681.12,-23.8399999999999,-43.12,1.91279069767442,2.00470219435737,0.568869318701291
666,402,1372,736,1318.68,795.96,53.3199999999999,-59.96,1.65671641791045,1.86413043478261,0.130808639553066
651,343,1262,704,1288.98,679.14,-26.98,24.86,1.89795918367347,1.79261363636364,0.483803572047621
662,352,1438,725,1310.76,696.96,127.24,28.04,1.88068181818182,1.98344827586207,0.507307298188624
640,328,1334,637,1267.2,649.44,66.8,-12.4399999999999,1.95121951219512,2.09419152276295,0.39625559015552
648,347,1278,650,1283.04,687.06,-5.03999999999996,-37.0599999999999,1.86743515850144,1.96615384615385,0.530868409539301
742,363,1332,657,1469.16,718.74,-137.16,-61.74,2.04407713498623,2.02739726027397,0.918255589048346
667,370,1350,735,1320.66,732.6,29.3399999999999,2.39999999999998,1.8027027027027,1.83673469387755,0.813823251174846
671,384,1283,692,1328.58,760.32,-45.5799999999999,-68.3199999999999,1.74739583333333,1.85404624277457,0.456457551401199
606,372,1209,730,1199.88,736.56,9.12000000000012,-6.55999999999995,1.62903225806452,1.65616438356164,0.838131339259145
724,385,1396,640,1433.52,762.3,-37.52,-122.3,1.88051948051948,2.18125,0.0612598479085602
698,427,1357,720,1382.04,845.46,-25.04,-125.46,1.63466042154567,1.88472222222222,0.0642761466630611
628,392,1311,711,1243.44,776.16,67.56,-65.16,1.60204081632653,1.84388185654008,0.0772928719641441
703,315,1279,675,1391.94,623.7,-112.94,51.3,2.23174603174603,1.89481481481481,0.0473739524893152
626,337,1273,719,1239.48,667.26,33.52,51.74,1.85756676557864,1.77051460361613,0.558491703796885
665,336,1228,683,1316.7,665.28,-88.7000000000001,17.72,1.97916666666667,1.79795021961933,0.241957751530097
665,342,1271,666,1316.7,677.16,-45.7000000000001,-11.16,1.94444444444444,1.90840840840841,0.819382844704032
620,404,1342,717,1227.6,799.92,114.4,-82.92,1.53465346534653,1.87168758716876,0.0120590647486983
689,377,1330,717,1364.22,746.46,-34.22,-29.46,1.82758620689655,1.85495118549512,0.850919748554903
724,456,1310,833,1433.52,902.88,-123.52,-69.88,1.58771929824561,1.57262905162065,0.897879798088584
690,430,1233,679,1366.2,851.4,-133.2,-172.4,1.6046511627907,1.8159057437408,0.112477109144495
596,350,1278,600,1180.08,693,97.9200000000001,-93,1.70285714285714,2.13,0.00757191499789816
665,356,1264,719,1316.7,704.88,-52.7000000000001,14.12,1.86797752808989,1.75799721835883,0.451016226667932
644,343,1314,775,1275.12,679.14,38.8800000000001,95.86,1.87755102040816,1.69548387096774,0.205628781267374
681,399,1309,670,1348.38,790.02,-39.3799999999999,-120.02,1.70676691729323,1.95373134328358,0.0873974521007935
702,338,1298,583,1389.96,669.24,-91.96,-86.24,2.07692307692308,2.22641509433962,0.402192501625714
659,379,1309,603,1304.82,750.42,4.18000000000006,-147.42,1.73878627968338,2.17081260364842,0.00634811528734521
652,306,1272,608,1290.96,605.88,-18.96,2.12,2.13071895424837,2.09210526315789,0.829670428389016
608,388,1255,691,1203.84,768.24,51.1600000000001,-77.24,1.56701030927835,1.81620839363242,0.0668988777365792
700,410,1209,723,1386,811.8,-177,-88.8,1.70731707317073,1.67219917012448,0.789733549089059
679,406,1383,720,1344.42,803.88,38.5799999999999,-83.88,1.67241379310345,1.92083333333333,0.0754394325051063
686,335,1262,689,1358.28,663.3,-96.28,25.7,2.04776119402985,1.83164005805515,0.171666930098225
700,357,1256,680,1386,706.86,-130,-26.86,1.96078431372549,1.84705882352941,0.458064507250764
661,360,1297,697,1308.78,712.8,-11.78,-15.8,1.83611111111111,1.86083213773314,0.86823955495551
690,365,1289,654,1366.2,722.7,-77.2000000000001,-68.7000000000001,1.89041095890411,1.97094801223242,0.604874922158846
657,412,1348,690,1300.86,815.76,47.1400000000001,-125.76,1.59466019417476,1.9536231884058,0.00972615211836981
705,337,1212,620,1395.9,667.26,-183.9,-47.26,2.0919881305638,1.95483870967742,0.411196141806473
645,339,1259,673,1277.1,671.22,-18.0999999999999,1.77999999999997,1.90265486725664,1.87072808320951,0.837126113965619
705,392,1277,672,1395.9,776.16,-118.9,-104.16,1.7984693877551,1.90029761904762,0.486006124314578
636,338,1282,620,1259.28,669.24,22.72,-49.24,1.88165680473373,2.06774193548387,0.25777538632978
636,398,1299,643,1259.28,788.04,39.72,-145.04,1.59798994974874,2.02021772939347,0.0034815972501662
668,363,1271,678,1322.64,718.74,-51.6400000000001,-40.74,1.84022038567493,1.87463126843658,0.818486605776195
653,408,1281,737,1292.94,807.84,-11.9400000000001,-70.84,1.60049019607843,1.73812754409769,0.292077349754956
