Gene,prox_ext,prox_ext_adj,proxW_ext,proxW_ext_adj
ADGRE2,0.09,0.19,0.06,0.17
ADGRE3,0.12,0.22,0.09,0.17
ADGRE5,0.11,0.17,0.08,0.09
CLEC17A,0.15,0.18,0.09,0.11
DDX39A,0.15,0.22,0.1,0.18
DNAJB1,0.12,0.22,0.1,0.15
GIPC1,0.15,0.262626262626263,0.12,0.181818181818182
NDUFB7,0.114583333333333,0.273809523809524,0.0833333333333333,0.164383561643836
PKN1,0.14,0.23,0.12,0.14
PTGER1,0.09,0.25,0.07,0.19
TECR,0.19,0.185567010309278,0.08,0.11340206185567
ZNF333,0.06,0.24,0.09,0.23
