gene fun syn ratio
ADGRE2 132 77 1.71428571428571
ADGRE3 100 49 2.04081632653061
ADGRE5 126 57 2.21052631578947
CLEC17A 59 29 2.03448275862069
DDX39A 63 30 2.1
DNAJB1 51 21 2.42857142857143
GIPC1 51 22 2.31818181818182
NDUFB7 16 15 1.06666666666667
PKN1 143 64 2.234375
PTGER1 52 33 1.57575757575758
TECR 38 18 2.11111111111111
ZNF333 99 51 1.94117647058824
ADGRE2 131 46 2.84782608695652
ADGRE3 101 37 2.72972972972973
ADGRE5 117 59 1.98305084745763
CLEC17A 56 36 1.55555555555556
DDX39A 61 30 2.03333333333333
DNAJB1 40 23 1.73913043478261
GIPC1 47 28 1.67857142857143
NDUFB7 22 6 3.66666666666667
PKN1 140 82 1.70731707317073
PTGER1 56 21 2.66666666666667
TECR 43 25 1.72
ZNF333 107 45 2.37777777777778
ADGRE2 132 52 2.53846153846154
ADGRE3 99 49 2.02040816326531
ADGRE5 117 59 1.98305084745763
CLEC17A 57 25 2.28
DDX39A 53 20 2.65
DNAJB1 46 24 1.91666666666667
GIPC1 49 22 2.22727272727273
NDUFB7 19 13 1.46153846153846
PKN1 147 66 2.22727272727273
PTGER1 58 39 1.48717948717949
TECR 41 34 1.20588235294118
ZNF333 84 37 2.27027027027027
ADGRE2 127 46 2.76086956521739
ADGRE3 105 49 2.14285714285714
ADGRE5 126 54 2.33333333333333
CLEC17A 50 21 2.38095238095238
DDX39A 65 37 1.75675675675676
DNAJB1 50 19 2.63157894736842
GIPC1 48 22 2.18181818181818
NDUFB7 15 4 3.75
PKN1 135 72 1.875
PTGER1 50 22 2.27272727272727
TECR 43 21 2.04761904761905
ZNF333 92 44 2.09090909090909
ADGRE2 127 70 1.81428571428571
ADGRE3 87 38 2.28947368421053
ADGRE5 126 54 2.33333333333333
CLEC17A 63 27 2.33333333333333
DDX39A 50 21 2.38095238095238
DNAJB1 41 18 2.27777777777778
GIPC1 45 26 1.73076923076923
NDUFB7 21 10 2.1
PKN1 136 73 1.86301369863014
PTGER1 50 43 1.16279069767442
TECR 57 27 2.11111111111111
ZNF333 97 28 3.46428571428571
ADGRE2 136 51 2.66666666666667
ADGRE3 82 52 1.57692307692308
ADGRE5 114 54 2.11111111111111
CLEC17A 59 26 2.26923076923077
DDX39A 45 29 1.55172413793103
DNAJB1 50 18 2.77777777777778
GIPC1 54 27 2
NDUFB7 18 13 1.38461538461538
PKN1 141 81 1.74074074074074
PTGER1 59 38 1.55263157894737
TECR 40 12 3.33333333333333
ZNF333 101 31 3.25806451612903
ADGRE2 127 59 2.15254237288136
