gene fun syn ratio
CLEC17A 64 27 2.37037037037037
DDX39A 65 38 1.71052631578947
DNAJB1 50 21 2.38095238095238
GIPC1 61 38 1.60526315789474
NDUFB7 23 5 4.6
PKN1 145 79 1.83544303797468
PTGER1 60 34 1.76470588235294
TECR 44 33 1.33333333333333
ZNF333 101 41 2.46341463414634
ADGRE2 140 68 2.05882352941176
ADGRE3 98 44 2.22727272727273
ADGRE5 111 63 1.76190476190476
CLEC17A 52 25 2.08
DDX39A 69 32 2.15625
DNAJB1 70 22 3.18181818181818
GIPC1 54 23 2.34782608695652
NDUFB7 14 10 1.4
PKN1 157 73 2.15068493150685
PTGER1 60 36 1.66666666666667
TECR 45 24 1.875
ZNF333 101 55 1.83636363636364
ADGRE2 133 74 1.7972972972973
ADGRE3 110 49 2.24489795918367
ADGRE5 142 67 2.11940298507463
CLEC17A 60 28 2.14285714285714
DDX39A 68 31 2.19354838709677
DNAJB1 57 21 2.71428571428571
GIPC1 53 28 1.89285714285714
NDUFB7 21 9 2.33333333333333
PKN1 140 81 1.72839506172839
PTGER1 63 39 1.61538461538462
TECR 45 23 1.95652173913043
ZNF333 102 43 2.37209302325581
ADGRE2 143 61 2.34426229508197
ADGRE3 96 49 1.95918367346939
ADGRE5 124 67 1.85074626865672
CLEC17A 65 25 2.6
DDX39A 50 35 1.42857142857143
DNAJB1 57 23 2.47826086956522
GIPC1 51 27 1.88888888888889
NDUFB7 18 6 3
PKN1 154 80 1.925
PTGER1 54 37 1.45945945945946
TECR 35 25 1.4
ZNF333 115 46 2.5
ADGRE2 125 62 2.01612903225806
ADGRE3 96 52 1.84615384615385
ADGRE5 140 76 1.84210526315789
CLEC17A 59 30 1.96666666666667
DDX39A 61 36 1.69444444444444
DNAJB1 57 30 1.9
GIPC1 44 25 1.76
NDUFB7 16 12 1.33333333333333
PKN1 146 79 1.84810126582278
PTGER1 58 37 1.56756756756757
TECR 52 29 1.79310344827586
ZNF333 111 41 2.70731707317073
ADGRE2 133 68 1.95588235294118
ADGRE3 108 55 1.96363636363636
ADGRE5 133 72 1.84722222222222
CLEC17A 66 30 2.2
DDX39A 70 29 2.41379310344828
DNAJB1 43 24 1.79166666666667
GIPC1 53 22 2.40909090909091
NDUFB7 29 17 1.70588235294118
PKN1 133 77 1.72727272727273
PTGER1 59 36 1.63888888888889
TECR 46 19 2.42105263157895
ZNF333 105 48 2.1875
ADGRE2 156 61 2.55737704918033
ADGRE3 95 58 1.63793103448276
ADGRE5 152 72 2.11111111111111
CLEC17A 71 19 3.73684210526316
DDX39A 66 41 1.60975609756098
DNAJB1 57 31 1.83870967741935
GIPC1 41 34 1.20588235294118
NDUFB7 20 11 1.81818181818182
PKN1 136 86 1.58139534883721
PTGER1 53 34 1.55882352941176
TECR 51 27 1.88888888888889
ZNF333 102 55 1.85454545454545
ADGRE2 125 60 2.08333333333333
ADGRE3 105 47 2.23404255319149
ADGRE5 113 67 1.6865671641791
CLEC17A 62 26 2.38461538461538
DDX39A 62 29 2.13793103448276
DNAJB1 56 17 3.29411764705882
