gene fun syn ratio
CLEC17A 57 39 1.46153846153846
DDX39A 73 29 2.51724137931034
DNAJB1 64 26 2.46153846153846
GIPC1 55 28 1.96428571428571
NDUFB7 20 10 2
PKN1 165 75 2.2
PTGER1 59 35 1.68571428571429
TECR 41 27 1.51851851851852
ZNF333 101 36 2.80555555555556
ADGRE2 145 65 2.23076923076923
ADGRE3 109 62 1.75806451612903
ADGRE5 140 67 2.08955223880597
CLEC17A 70 21 3.33333333333333
DDX39A 51 26 1.96153846153846
DNAJB1 63 33 1.90909090909091
GIPC1 57 23 2.47826086956522
NDUFB7 24 12 2
PKN1 143 93 1.53763440860215
PTGER1 50 37 1.35135135135135
TECR 46 22 2.09090909090909
ZNF333 95 45 2.11111111111111
ADGRE2 135 70 1.92857142857143
ADGRE3 86 63 1.36507936507937
ADGRE5 135 67 2.01492537313433
CLEC17A 66 27 2.44444444444444
DDX39A 62 36 1.72222222222222
DNAJB1 53 20 2.65
GIPC1 48 30 1.6
NDUFB7 19 13 1.46153846153846
PKN1 141 97 1.45360824742268
PTGER1 56 30 1.86666666666667
TECR 43 20 2.15
ZNF333 134 45 2.97777777777778
ADGRE2 133 76 1.75
ADGRE3 107 57 1.87719298245614
ADGRE5 146 66 2.21212121212121
CLEC17A 54 30 1.8
DDX39A 58 27 2.14814814814815
DNAJB1 65 25 2.6
GIPC1 54 21 2.57142857142857
NDUFB7 27 10 2.7
PKN1 151 76 1.98684210526316
PTGER1 54 35 1.54285714285714
TECR 58 17 3.41176470588235
ZNF333 112 41 2.73170731707317
ADGRE2 137 58 2.36206896551724
ADGRE3 89 55 1.61818181818182
ADGRE5 148 50 2.96
CLEC17A 78 23 3.39130434782609
DDX39A 56 31 1.80645161290323
DNAJB1 50 28 1.78571428571429
GIPC1 44 29 1.51724137931034
NDUFB7 18 12 1.5
PKN1 144 71 2.02816901408451
PTGER1 48 43 1.11627906976744
TECR 49 29 1.68965517241379
ZNF333 115 55 2.09090909090909
ADGRE2 141 73 1.93150684931507
ADGRE3 113 52 2.17307692307692
ADGRE5 139 69 2.01449275362319
CLEC17A 60 24 2.5
DDX39A 63 31 2.03225806451613
DNAJB1 61 18 3.38888888888889
GIPC1 48 40 1.2
NDUFB7 19 9 2.11111111111111
PKN1 145 87 1.66666666666667
PTGER1 62 27 2.2962962962963
TECR 50 25 2
ZNF333 98 43 2.27906976744186
ADGRE2 129 67 1.92537313432836
ADGRE3 97 63 1.53968253968254
ADGRE5 132 73 1.80821917808219
CLEC17A 69 28 2.46428571428571
DDX39A 59 33 1.78787878787879
DNAJB1 55 22 2.5
GIPC1 55 22 2.5
NDUFB7 19 9 2.11111111111111
PKN1 126 79 1.59493670886076
PTGER1 60 32 1.875
TECR 41 26 1.57692307692308
ZNF333 110 37 2.97297297297297
ADGRE2 144 68 2.11764705882353
ADGRE3 96 52 1.84615384615385
ADGRE5 137 65 2.10769230769231
CLEC17A 59 19 3.10526315789474
DDX39A 68 37 1.83783783783784
DNAJB1 58 32 1.8125
GIPC1 48 24 2
NDUFB7 20 10 2
PKN1 157 82 1.91463414634146
PTGER1 42 36 1.16666666666667
TECR 48 20 2.4
ZNF333 95 46 2.06521739130435
ADGRE2 136 82 1.65853658536585
ADGRE3 103 57 1.80701754385965
ADGRE5 139 67 2.07462686567164
CLEC17A 61 25 2.44
DDX39A 61 33 1.84848484848485
DNAJB1 52 19 2.73684210526316
GIPC1 52 19 2.73684210526316
NDUFB7 25 12 2.08333333333333
PKN1 164 79 2.07594936708861
PTGER1 52 35 1.48571428571429
TECR 44 25 1.76
ZNF333 101 51 1.98039215686275
ADGRE2 147 71 2.07042253521127
ADGRE3 96 50 1.92
ADGRE5 138 68 2.02941176470588
CLEC17A 49 26 1.88461538461538
DDX39A 70 33 2.12121212121212
DNAJB1 52 26 2
GIPC1 49 24 2.04166666666667
NDUFB7 18 14 1.28571428571429
PKN1 151 76 1.98684210526316
PTGER1 51 38 1.34210526315789
TECR 48 26 1.84615384615385
ZNF333 110 44 2.5
ADGRE2 145 80 1.8125
ADGRE3 108 42 2.57142857142857
ADGRE5 120 61 1.9672131147541
CLEC17A 65 30 2.16666666666667
DDX39A 55 39 1.41025641025641
DNAJB1 59 23 2.56521739130435
GIPC1 36 34 1.05882352941176
NDUFB7 24 11 2.18181818181818
PKN1 141 68 2.07352941176471
PTGER1 65 38 1.71052631578947
TECR 41 23 1.78260869565217
ZNF333 108 49 2.20408163265306
