gene fun syn ratio
ADGRE5 146 74 1.97297297297297
CLEC17A 60 24 2.5
DDX39A 60 42 1.42857142857143
DNAJB1 59 36 1.63888888888889
GIPC1 43 24 1.79166666666667
NDUFB7 30 15 2
PKN1 167 82 2.03658536585366
PTGER1 72 31 2.32258064516129
TECR 48 26 1.84615384615385
ZNF333 110 46 2.39130434782609
ADGRE2 147 79 1.86075949367089
ADGRE3 115 58 1.98275862068966
ADGRE5 153 71 2.15492957746479
CLEC17A 56 25 2.24
DDX39A 70 38 1.84210526315789
DNAJB1 70 30 2.33333333333333
GIPC1 58 31 1.87096774193548
NDUFB7 21 13 1.61538461538462
PKN1 146 88 1.65909090909091
PTGER1 69 41 1.68292682926829
TECR 48 25 1.92
ZNF333 130 50 2.6
ADGRE2 139 71 1.95774647887324
ADGRE3 107 56 1.91071428571429
ADGRE5 155 82 1.89024390243902
CLEC17A 68 30 2.26666666666667
DDX39A 61 30 2.03333333333333
DNAJB1 52 24 2.16666666666667
GIPC1 67 29 2.31034482758621
NDUFB7 18 6 3
PKN1 153 80 1.9125
PTGER1 70 31 2.25806451612903
TECR 53 27 1.96296296296296
ZNF333 131 43 3.04651162790698
ADGRE2 147 60 2.45
ADGRE3 89 56 1.58928571428571
ADGRE5 156 62 2.51612903225806
CLEC17A 64 32 2
DDX39A 70 44 1.59090909090909
DNAJB1 47 21 2.23809523809524
GIPC1 48 33 1.45454545454545
NDUFB7 21 12 1.75
PKN1 175 75 2.33333333333333
PTGER1 51 48 1.0625
TECR 38 21 1.80952380952381
ZNF333 133 56 2.375
ADGRE2 151 69 2.18840579710145
ADGRE3 110 48 2.29166666666667
ADGRE5 153 74 2.06756756756757
CLEC17A 68 29 2.3448275862069
DDX39A 76 31 2.45161290322581
DNAJB1 54 21 2.57142857142857
GIPC1 65 27 2.40740740740741
NDUFB7 22 7 3.14285714285714
PKN1 138 98 1.40816326530612
PTGER1 40 41 0.975609756097561
TECR 41 26 1.57692307692308
ZNF333 122 52 2.34615384615385
ADGRE2 148 60 2.46666666666667
ADGRE3 97 55 1.76363636363636
ADGRE5 158 76 2.07894736842105
CLEC17A 53 24 2.20833333333333
DDX39A 78 37 2.10810810810811
DNAJB1 48 31 1.54838709677419
GIPC1 56 22 2.54545454545455
NDUFB7 23 18 1.27777777777778
PKN1 166 82 2.02439024390244
PTGER1 43 26 1.65384615384615
TECR 53 27 1.96296296296296
ZNF333 123 46 2.67391304347826
ADGRE2 163 74 2.2027027027027
ADGRE3 109 59 1.84745762711864
ADGRE5 140 90 1.55555555555556
CLEC17A 58 32 1.8125
DDX39A 78 35 2.22857142857143
DNAJB1 59 19 3.10526315789474
GIPC1 50 25 2
NDUFB7 24 14 1.71428571428571
PKN1 159 75 2.12
PTGER1 56 43 1.30232558139535
TECR 46 30 1.53333333333333
ZNF333 113 51 2.2156862745098
ADGRE2 151 72 2.09722222222222
ADGRE3 104 65 1.6
ADGRE5 136 75 1.81333333333333
CLEC17A 62 24 2.58333333333333
DDX39A 74 31 2.38709677419355
DNAJB1 63 37 1.7027027027027
GIPC1 62 38 1.63157894736842
NDUFB7 26 9 2.88888888888889
PKN1 165 92 1.79347826086957
PTGER1 64 27 2.37037037037037
TECR 50 28 1.78571428571429
ZNF333 114 49 2.3265306122449
ADGRE2 163 73 2.23287671232877
ADGRE3 118 52 2.26923076923077
ADGRE5 142 75 1.89333333333333
CLEC17A 66 25 2.64
DDX39A 85 26 3.26923076923077
DNAJB1 56 23 2.43478260869565
GIPC1 53 36 1.47222222222222
NDUFB7 16 10 1.6
PKN1 154 97 1.58762886597938
PTGER1 70 38 1.84210526315789
TECR 46 30 1.53333333333333
ZNF333 105 44 2.38636363636364
ADGRE2 157 81 1.93827160493827
ADGRE3 109 62 1.75806451612903
ADGRE5 150 71 2.11267605633803
CLEC17A 53 26 2.03846153846154
DDX39A 75 39 1.92307692307692
DNAJB1 56 31 1.80645161290323
GIPC1 60 30 2
NDUFB7 26 10 2.6
PKN1 159 92 1.72826086956522
PTGER1 63 37 1.7027027027027
TECR 54 20 2.7
ZNF333 112 39 2.87179487179487
ADGRE2 147 63 2.33333333333333
ADGRE3 114 51 2.23529411764706
ADGRE5 135 70 1.92857142857143
CLEC17A 56 25 2.24
DDX39A 70 27 2.59259259259259
DNAJB1 62 30 2.06666666666667
GIPC1 58 28 2.07142857142857
NDUFB7 21 7 3
PKN1 161 101 1.59405940594059
PTGER1 62 42 1.47619047619048
TECR 58 30 1.93333333333333
ZNF333 114 54 2.11111111111111
ADGRE2 143 58 2.46551724137931
ADGRE3 113 53 2.13207547169811
ADGRE5 146 73 2
CLEC17A 75 27 2.77777777777778
DDX39A 66 38 1.73684210526316
DNAJB1 65 36 1.80555555555556
GIPC1 55 30 1.83333333333333
NDUFB7 20 18 1.11111111111111
PKN1 159 87 1.82758620689655
PTGER1 65 37 1.75675675675676
TECR 49 28 1.75
ZNF333 110 49 2.24489795918367
ADGRE2 159 69 2.30434782608696
ADGRE3 109 48 2.27083333333333
ADGRE5 154 71 2.16901408450704
CLEC17A 66 26 2.53846153846154
DDX39A 69 36 1.91666666666667
DNAJB1 56 30 1.86666666666667
GIPC1 44 23 1.91304347826087
NDUFB7 22 16 1.375
PKN1 173 92 1.8804347826087
PTGER1 60 42 1.42857142857143
TECR 56 18 3.11111111111111
ZNF333 111 52 2.13461538461538
ADGRE2 150 64 2.34375
ADGRE3 102 56 1.82142857142857
ADGRE5 152 68 2.23529411764706
CLEC17A 62 31 2
DDX39A 66 32 2.0625
DNAJB1 58 25 2.32
GIPC1 59 34 1.73529411764706
NDUFB7 16 7 2.28571428571429
PKN1 149 96 1.55208333333333
PTGER1 49 46 1.06521739130435
TECR 53 28 1.89285714285714
ZNF333 107 56 1.91071428571429
ADGRE2 144 86 1.67441860465116
ADGRE3 112 47 2.38297872340426
ADGRE5 145 55 2.63636363636364
CLEC17A 80 21 3.80952380952381
DDX39A 65 33 1.96969696969697
DNAJB1 46 29 1.58620689655172
GIPC1 50 27 1.85185185185185
NDUFB7 19 17 1.11764705882353
PKN1 176 95 1.85263157894737
PTGER1 57 39 1.46153846153846
TECR 50 29 1.72413793103448
ZNF333 105 57 1.84210526315789
ADGRE2 166 68 2.44117647058824
ADGRE3 107 47 2.27659574468085
ADGRE5 143 69 2.07246376811594
CLEC17A 64 27 2.37037037037037
DDX39A 68 41 1.65853658536585
DNAJB1 61 26 2.34615384615385
GIPC1 61 25 2.44
NDUFB7 23 19 1.21052631578947
PKN1 162 83 1.95180722891566
PTGER1 67 38 1.76315789473684
TECR 64 30 2.13333333333333
ZNF333 124 42 2.95238095238095
ADGRE2 144 68 2.11764705882353
ADGRE3 98 61 1.60655737704918
ADGRE5 180 65 2.76923076923077
CLEC17A 74 21 3.52380952380952
DDX39A 63 36 1.75
DNAJB1 67 29 2.31034482758621
GIPC1 49 40 1.225
NDUFB7 22 16 1.375
PKN1 159 88 1.80681818181818
PTGER1 57 31 1.83870967741935
TECR 57 35 1.62857142857143
ZNF333 126 44 2.86363636363636
ADGRE2 138 78 1.76923076923077
ADGRE3 107 50 2.14
ADGRE5 134 53 2.52830188679245
CLEC17A 60 34 1.76470588235294
DDX39A 81 30 2.7
DNAJB1 69 22 3.13636363636364
GIPC1 58 32 1.8125
NDUFB7 20 17 1.17647058823529
PKN1 169 86 1.96511627906977
PTGER1 67 38 1.76315789473684
