gene fun syn ratio
ADGRE2 123 59 2.08474576271186
ADGRE3 94 49 1.91836734693878
ADGRE5 120 58 2.06896551724138
CLEC17A 70 19 3.68421052631579
DDX39A 62 35 1.77142857142857
DNAJB1 46 25 1.84
GIPC1 45 28 1.60714285714286
NDUFB7 16 9 1.77777777777778
PKN1 128 72 1.77777777777778
PTGER1 55 34 1.61764705882353
TECR 42 16 2.625
ZNF333 109 46 2.3695652173913
ADGRE2 129 55 2.34545454545455
ADGRE3 109 43 2.53488372093023
ADGRE5 123 65 1.89230769230769
CLEC17A 54 14 3.85714285714286
DDX39A 46 24 1.91666666666667
DNAJB1 41 25 1.64
GIPC1 40 17 2.35294117647059
NDUFB7 23 13 1.76923076923077
PKN1 151 77 1.96103896103896
PTGER1 57 32 1.78125
TECR 42 30 1.4
ZNF333 96 54 1.77777777777778
ADGRE2 130 56 2.32142857142857
ADGRE3 107 41 2.60975609756098
ADGRE5 119 54 2.2037037037037
CLEC17A 55 18 3.05555555555556
DDX39A 70 39 1.79487179487179
DNAJB1 49 29 1.68965517241379
GIPC1 45 28 1.60714285714286
NDUFB7 13 10 1.3
PKN1 120 71 1.69014084507042
PTGER1 47 28 1.67857142857143
TECR 31 22 1.40909090909091
ZNF333 115 36 3.19444444444444
ADGRE2 138 50 2.76
ADGRE3 96 53 1.81132075471698
ADGRE5 113 41 2.75609756097561
CLEC17A 55 24 2.29166666666667
DDX39A 47 40 1.175
DNAJB1 48 29 1.6551724137931
GIPC1 66 27 2.44444444444444
NDUFB7 16 13 1.23076923076923
PKN1 134 64 2.09375
PTGER1 47 35 1.34285714285714
TECR 42 22 1.90909090909091
ZNF333 91 32 2.84375
ADGRE2 122 58 2.10344827586207
ADGRE3 90 46 1.95652173913043
ADGRE5 133 58 2.29310344827586
CLEC17A 56 21 2.66666666666667
DDX39A 65 28 2.32142857142857
DNAJB1 46 19 2.42105263157895
GIPC1 51 25 2.04
NDUFB7 15 7 2.14285714285714
PKN1 134 62 2.16129032258065
PTGER1 39 28 1.39285714285714
TECR 48 30 1.6
ZNF333 108 39 2.76923076923077
ADGRE2 119 62 1.91935483870968
ADGRE3 87 49 1.77551020408163
ADGRE5 104 56 1.85714285714286
CLEC17A 69 29 2.37931034482759
DDX39A 73 24 3.04166666666667
DNAJB1 54 22 2.45454545454545
GIPC1 54 27 2
NDUFB7 18 8 2.25
PKN1 138 63 2.19047619047619
PTGER1 71 32 2.21875
TECR 50 20 2.5
ZNF333 85 54 1.57407407407407
ADGRE2 127 54 2.35185185185185
ADGRE3 71 41 1.73170731707317
ADGRE5 116 51 2.27450980392157
CLEC17A 53 25 2.12
DDX39A 74 33 2.24242424242424
DNAJB1 55 29 1.89655172413793
GIPC1 39 25 1.56
