prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.174137175943209 0.794627288563752 0.173539278500259 0.805374002675833 0.794627284007788 0.532688947253518 0.429511377910889 0.273023391234946 0.651878563083886 0.42488799655715 0.53244683696914 0.642517255500733 0.66481393354263
0.954450489476588 0.327736077299288 0.954445883064196 0.306302283521216 0.32773930403086 0.210404242449655 0.320918129238779 0.156816103757658 0.0982271699900766 0.312204702376561 0.475182139553582 0.430510946445723 0.511344732796621
0.340912455924391 0.711535596678897 0.341652585111346 0.729917412025024 0.711560465995363 0.791242610932741 0.643641106580873 0.234514907958716 0.2662469816685 1 1 0.0381659728001542 0.0688055401475258
0.750002435042617 0.891516372354141 0.750093927258415 0.856134308261841 0.891518085843899 0.697385202144009 0.464798096046747 0.362098079388072 0.810896150110171 0.74103848585612 0.853753469702973 0.810593010819718 1
0.171948091801696 0.255795722563049 0.171232866556886 0.251554768893914 0.255879009705788 0.655828777507952 0.937262152906403 0.646879595860458 0.565754943343336 0.68089041398067 0.793641659849267 0.431332201349652 0.351475629301659
0.412200788299609 0.436216441684477 0.412871680954298 0.427292107036508 0.436292715384793 0.754940003219338 0.875766526574118 0.386039348947565 0.647320361197876 0.819685845675639 0.648521334649952 0.919232348227793 0.614484335859353
0.653223769448099 0.781559690311384 0.65346882902131 0.806981530232494 0.781554939860207 0.494224661723936 0.861286610765718 0.610300206732009 0.728060064436053 1 1 0.816990470321955 0.829981745568227
0.0537656905180524 0.0145839672805137 0.0546880319396091 0.0146913278746586 0.014691327874657 0.785449483736562 1 0.899019172257439 0.622322712845994 0.113152778249112 0.0778183020643485 0.0733402930368657 0.0533072889314202
0.642334301993676 0.847996437482798 0.642104927222639 0.779463496352218 0.847999172572331 0.761870803394083 0.86569437197895 0.45094457574353 0.826438055767424 0.691268520787198 0.424971103272208 1 1
0.891644608139514 0.186705595513033 0.891666641315717 0.1329639558631 0.186916375902508 0.708599849928797 0.508591953768753 0.874195159011677 0.750676134579384 0.77656884873877 1 0.752130584791539 0.663570588551997
0.379882240448412 0.663175556843283 0.380358375173475 0.718988271118216 0.663195689356999 0.532599510571752 0.710957164518803 0.823857948025199 0.497455182549841 0.785765573543207 0.826310381922298 0.379680814455306 0.860064466495994
0.414514393579499 0.531911089725072 0.414091530187182 0.472878339056119 0.531973818512868 0.848245082785189 0.848695771579199 1 1 0.405157273182582 0.289995079841382 0.510456124017352 0.433755537329894
0.959072350931894 0.557150519627328 0.959069479686788 0.605880858020409 0.557211385801078 0.595916926926169 0.928439323425302 0.275725525722441 0.360649865114757 0.520527390249389 0.662291682291825 0.501738903605325 0.355368736966476
0.896777472216267 0.265846591721391 0.896788669519336 0.243216507599922 0.265907198542822 0.161156958366657 0.446518570372374 0.36507614938432 0.198197722068807 0.790590457239875 0.821642831280802 0.799956236111283 0.929117347731257
0.269436224512776 0.263708696632072 0.268731366499652 0.248840064144293 0.263810862808022 1 1 0.452045372166425 0.46787752780829 0.390141771385671 0.436889941133487 0.82127745587226 0.698523984941905
0.965875360808296 0.812899920457154 0.965873250245703 0.950061665426099 0.812897433058973 0.689365649241117 0.459115973518108 0.459419791193993 0.47681166556402 0.645680141734539 0.713497533868289 0.591580070136748 0.633419393413801
0.894669910461909 0.336886622888493 0.894651360948511 0.320805387135088 0.336940723474304 0.903104257223515 0.726620613804797 1 0.862812817923208 0.664690519372398 0.528547061520976 0.907529275425842 1
