Gene,prox_ext,prox_ext_adj,proxW_ext,proxW_ext_adj
ADGRE2,0.14,0.04,0.09,0.02
ADGRE3,0.1,0.02,0.07,0.03
ADGRE5,0.08,0.02,0.08,0.01
CLEC17A,0.1,0.05,0.07,0.02
DDX39A,0.15,0.06,0.08,0.02
DNAJB1,0.04,0.03,0.02,0.04
GIPC1,0.11,0.05,0.07,0.05
NDUFB7,0.104166666666667,0.0659340659340659,0.0833333333333333,0.021978021978022
PKN1,0.12,0.04,0.1,0.03
PTGER1,0.14,0.04,0.09,0.07
TECR,0.15,0.06,0.13,0.05
ZNF333,0.11,0.03,0.11,0.05
