prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.921843567229285 0.47057428397676 0.92182936582439 0.49017544373093 0.470591641829716 0.913503884560816 0.786025314928 1 0.758476798195924 0.2486964658161 0.106213917646604 0.598422720785199 0.293751608657539
0.716464127365197 0.233320873795803 0.716624460284949 0.246895546056499 0.233487641875056 0.207858591852629 0.489494872644232 0.190806735430353 0.138458624153393 0.881677496709714 1 0.569993284339539 0.583776306619368
0.170363491844238 0.251623225747556 0.169934098944777 0.226889236796222 0.251708555380216 0.292765135251146 0.456503958668291 0.230102408392412 0.203682303181515 0.447188734930267 0.493504538599751 0.865690905513059 0.848542377577775
0.125305365821294 0.443486860167135 0.126399705047449 0.388754192094002 0.443500743338361 0.438430466110994 0.478144924685035 0.0734496862410929 0.0833498396570509 0.290653724772331 0.481694612713264 0.900860761233813 0.857596340284671
0.952523967529478 0.831685949468458 0.952518271912338 0.748337434035498 0.831691028150365 0.285720201620642 0.243880536873742 0.617100319252221 0.541780974406523 0.478611206553644 0.466886971726644 0.832079947013163 0.736273459906103
0.645987948625549 0.0375084905949818 0.646203668053617 0.0436677260058207 0.0376727540571529 0.763393348404376 0.644362350184931 0.878358154561764 0.674934371182128 0.231197145337633 0.307763416491456 0.670269385580718 0.51921312044715
0.764758076001991 0.684845283581482 0.764695740526751 0.684847067573631 0.684847067573659 1 1 0.531086640989754 0.5373018161947 0.626226362762207 0.933854253313573 0.641001319564189 0.715579537668251
0.906069524806747 0.493454793489739 0.906051927484001 0.482265086729316 0.493463996406629 0.75784299928975 0.458518905272784 0.425256854718701 0.468142754310031 0.495114437705405 0.908104400977351 0.932809603517539 0.901002421002294
0.483426352333281 0.962588532693749 0.483094620964663 0.952217145959601 0.962588582039131 0.443205493438201 0.764872695736259 0.334640113394017 0.418823388365298 0.858372974145059 0.814978899358152 0.244267025126129 0.464710061795477
0.930968185311208 0.567031218097651 0.930960043586697 0.567338754496878 0.56704694691253 0.267438502037101 0.174338704910046 0.716136725621123 0.774739777678899 0.677173560008976 0.657629625944741 0.712198499755424 0.936833630882091
