prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skato_int_p skato_ext_p skato_all_p iecat_p_syn skato_int_p_syn skato_ext_p_syn skato_all_p_syn skat_int_p skat_ext_p skat_all_p burden_int_p burden_ext_p burden_all_p skat_int_p_syn skat_ext_p_syn skat_all_p_syn burden_int_p_syn burden_ext_p_syn burden_all_p_syn
0.835849703453775 0.750754318939316 0.835792909879025 0.750748230488811 0.750748230488965 1 0.619667887926102 0.818790019988151 0.932175710220382 0.389919544156874 0.433475558108858 0.593832572117487 0.375951094612434 0.196935037600456 0.912639724686593 0.745857682319778 0.299217311105604 0.578489353472545 0.931756477448165 0.208677508065264 0.369426810013676 0.213107709652516 0.710044772549227 0.879546587220659 0.962924739757171
0.320221303597437 0.411789198977669 0.321053139550407 0.445274833400246 0.411871976118774 0.337628912921808 0.377232003290541 0.713967896147846 0.877672340747274 0.593955363961993 0.435652922612135 0.202962953962002 0.23564503737268 0.959201713103016 0.47061924467039 0.792155691053418 0.926310042154366 0.608789913933182 0.655942869647009 0.27841727025424 0.372235242378905 0.41760216535859 0.338722679472852 0.108383156247852 0.126337946009985
0.200773929790478 0.034273183449342 0.200044026326521 0.0330312024522246 0.0344365698690341 0.896923285699173 0.821260916423008 0.103319146866842 0.153746367492942 0.489121937149273 0.454645767418731 0.911006996655926 0.646210265379154 0.682890204447102 0.915296269880495 0.927203691360681 0.251766894691612 0.0526048574922579 0.0800920435065686 0.501352402287745 0.710184950274988 0.561859945242478 0.0771235921420591 0.91013966883852 0.412280979838604
0.969381700070433 0.839197441453054 0.96938319427974 0.839200879231892 0.839200879231932 0.734766152890752 0.65005288160076 0.876108949175815 0.830687567074124 0.369877292626161 0.515835313708941 0.820684305847173 0.810343447228554 0.737582743049042 0.653467408758043 0.594826680314365 0.728006681871454 0.788856204410287 0.982371458127067 0.763859559097002 0.584849731985961 0.572340148966841 0.602937447403821 0.869632635119825 0.997256394091483
0.450534735309722 0.560697261037233 0.450158461047164 0.560695103096293 0.560695103096359 0.0600513707351373 0.0447874881310449 0.479626016912618 0.0998504227883077 0.200791192531743 0.360793450560306 0.646280302246282 0.513524257638951 0.0606452640908128 0.281350519770429 0.0495938962118536 0.162135307112339 0.739054736276405 0.75221490423953 0.570109553746407 0.414378700181859 0.309044760257866 0.713309649417876 0.494083351939208 0.523568208094416
0.312909264861259 0.071695171473 0.313729971700224 0.107712366000696 0.0718169439786118 0.0470151919844356 0.0419336488665305 0.565273478806439 0.310837203617945 0.657136945362211 0.767903262072818 0.786264526645968 0.752604033559572 0.653602861204283 0.343998510326015 0.404054042957112 0.0484212322379667 0.377011238033972 0.171672782299991 0.969618411945549 0.989052018596823 0.993679345901481 0.424850985540747 0.545526012824436 0.510683043080543
0.00550503927534121 0.052747425651399 0.0053673951770984 0.0584642704438818 0.0529005543307482 0.0377235880492826 0.0603870026619122 0.0980715084466233 0.101376935322685 0.0649618193903365 0.230573860552299 0.048206521859568 0.0204038727533024 0.643671826872143 0.988816524272538 0.979149159026407 0.138341902994836 0.0489805772903167 0.0507911441083638 0.458803669833652 0.0681116541406208 0.0209578213038377 0.189286064264151 0.0460309495525279 0.0479382321725213
0.626158959788364 0.965974079653556 0.625880708221065 0.931869309129461 0.965973891773944 0.18023170565458 0.252017368010722 0.54072785066229 0.617378644635444 0.405687887045206 0.426615453762449 0.521259471767145 0.340319819306634 0.54226047780758 0.325788791784631 0.385822833528388 0.433273178573645 0.66783453338771 0.461906179166085 0.331317692358022 0.313771461517275 0.190395635031989 0.623149047802809 0.777429948895069 0.983821458017326
0.173508724593351 0.854665068119121 0.172654549838816 0.854670762357113 0.854670762356943 0.2568718257128 0.247096166109586 0.325270714832673 0.399697868423599 0.400533490088079 0.387745379775304 0.743378411064879 1 0.852126637103525 0.51159337909659 0.617692455814576 0.251845228222913 0.179969917378215 0.227071427398285 0.642041184847308 0.756564829239109 0.777186348113573 0.260239042824836 0.501192054967523 0.998494470273896
0.51141950459155 0.677396898460839 0.511026650832475 0.653200656912311 0.677391817228247 0.698418617416729 0.777353786419818 0.777372086227677 0.745796184370404 0.44893119894516 0.623139987746892 0.184623529383034 0.311416127401823 0.885661843973397 0.53207884886316 0.786401880454399 0.267055549885571 0.99996523745035 0.500769501608186 0.639308354271932 0.096861347226153 0.172147063594467 0.744165111908754 0.4128003435982 0.558586613571291
