Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.12,0.05,0.08,0.13,0.04,0.05,0.12,0.05,0.06,0.01,0.01,0.01,0.02,0.04,0.08,0.02,0.51,0.4,0,0.56,0.54,0.05,0.12,0.09
ADGRE3,0.23,0.06,0.09,0.17,0.05,0.07,0.23,0.06,0.09,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.45,0.4,0,0.45,0.4,0.02,0.18,0.13
ADGRE5,0.24,0.08,0.06,0.17,0.08,0.09,0.22,0.07,0.06,0.02,0.02,0.02,0.03,0.05,0.08,0.01,0.45,0.39,0,0.48,0.39,0.06,0.17,0.13
CLEC17A,0.12,0.07,0.06,0.07,0.05,0.06,0.11,0.06,0.05,0.01,0.01,0.01,0.05,0.06,0.08,0.01,0.29,0.26,0.01,0.37,0.3,0.03,0.13,0.1
DDX39A,0.12,0.06,0.05,0.09,0.03,0.04,0.11,0.03,0.05,0.03,0.03,0.03,0.04,0.05,0.05,0.02,0.29,0.23,0.02,0.37,0.25,0.03,0.17,0.13
DNAJB1,0.1,0.03,0.03,0.09,0.04,0.03,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.05,0.24,0.21,0.03,0.3,0.2,0.06,0.15,0.14
GIPC1,0.1,0.05,0.06,0.07,0.04,0.04,0.08,0.03,0.04,0,0,0,0.03,0.03,0.04,0,0.31,0.23,0,0.36,0.29,0.01,0.13,0.1
NDUFB7,0.172413793103448,0.103448275862069,0.112359550561798,0.126436781609195,0.0919540229885057,0.0786516853932584,0.0804597701149425,0.0574712643678161,0.0561797752808989,0.0114942528735632,0.0112359550561798,0.010989010989011,0.01,0.03,0.03,0.02,0.23,0.18,0.02,0.23,0.19,0.03,0.19,0.15
PKN1,0.16,0.08,0.08,0.1,0.07,0.06,0.16,0.08,0.08,0.06,0.07,0.07,0.06,0.07,0.07,0.02,0.45,0.41,0,0.52,0.47,0.06,0.15,0.17
PTGER1,0.14,0.04,0.05,0.08,0.02,0.03,0.13,0.04,0.05,0.02,0.02,0.02,0,0.02,0.03,0.02,0.24,0.18,0.02,0.32,0.24,0.04,0.08,0.06
TECR,0.16,0.0808080808080808,0.0909090909090909,0.07,0.0404040404040404,0.0505050505050505,0.14,0.0707070707070707,0.0707070707070707,0.02,0.0303030303030303,0.0303030303030303,0.02,0.01,0.03,0.04,0.25,0.24,0.03,0.31,0.26,0.06,0.11,0.1
ZNF333,0.14,0.06,0.08,0.07,0.04,0.03,0.14,0.06,0.08,0,0,0,0.05,0.05,0.06,0.02,0.54,0.44,0,0.6,0.49,0.03,0.17,0.12
