Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.1,0.07,0.07,0.07,0.04,0.03,0.1,0.07,0.06,0.01,0.02,0.02,0.02,0.03,0.05,0.03,0.35,0.19,0.02,0.44,0.29,0.04,0.09,0.07
ADGRE3,0.14,0.02,0.01,0.12,0.03,0.05,0.14,0.02,0.01,0,0,0,0.05,0.04,0.06,0.04,0.3,0.17,0.03,0.38,0.21,0.04,0.13,0.1
ADGRE5,0.18,0.07,0.08,0.19,0.04,0.02,0.17,0.07,0.07,0.05,0.04,0.04,0.06,0.03,0.07,0.05,0.32,0.16,0.02,0.36,0.22,0.06,0.14,0.14
CLEC17A,0.14,0.05,0.05,0.1,0.02,0.03,0.13,0.02,0.04,0.04,0.03,0.03,0.05,0.06,0.06,0.04,0.28,0.16,0.03,0.34,0.23,0.09,0.13,0.12
DDX39A,0.1,0.05,0.05,0.06,0.01,0.03,0.07,0.04,0.05,0.03,0.03,0.03,0.04,0.05,0.05,0.02,0.22,0.14,0.02,0.23,0.16,0.04,0.12,0.11
DNAJB1,0.06,0.04,0.05,0.04,0.04,0.04,0.06,0.04,0.05,0,0,0,0.01,0.01,0.02,0.01,0.17,0.11,0,0.23,0.12,0.01,0.11,0.07
GIPC1,0.03,0.01,0.01,0.05,0,0,0.03,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.06,0.04,0.15,0.14,0.02,0.23,0.2,0.04,0.07,0.05
NDUFB7,0.160919540229885,0.0681818181818182,0.0674157303370786,0.13953488372093,0.0568181818181818,0.0561797752808989,0.0804597701149425,0.0340909090909091,0.0337078651685393,0.0113636363636364,0.0112359550561798,0.0111111111111111,0.04,0.04,0.04,0.04,0.16,0.1,0.06,0.17,0.15,0.02,0.12,0.07
PKN1,0.13,0.1,0.1,0.11,0.06,0.06,0.12,0.1,0.1,0.07,0.05,0.05,0.05,0.04,0.03,0.03,0.31,0.19,0.01,0.45,0.26,0.08,0.15,0.13
PTGER1,0.14,0.04,0.05,0.11,0.04,0.04,0.12,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.2,0.14,0.06,0.29,0.2,0.02,0.09,0.04
TECR,0.131313131313131,0.0606060606060606,0.0707070707070707,0.0909090909090909,0.0505050505050505,0.0606060606060606,0.0909090909090909,0.0404040404040404,0.0505050505050505,0.03,0.03,0.03,0.04,0.01,0.01,0.02,0.18,0.12,0.03,0.19,0.12,0.03,0.09,0.1
ZNF333,0.08,0.04,0.06,0.04,0.04,0.06,0.07,0.03,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.28,0.17,0,0.34,0.23,0.01,0.08,0.05
