x
10207
10095
10133
10057
9959
10047
10063
10060
10134
10006
9969
10016
9943
10050
10155
9979
9985
10020
10000
10002
10112
10164
10121
9997
9922
10037
9920
10132
10035
10058
10034
10115
10052
9968
10044
10130
10042
9985
9902
9929
10088
10160
10074
10218
10043
9995
9814
10064
10076
10088
10071
10192
10054
10040
10016
10050
9976
9978
10209
9907
9888
10073
10077
9992
9874
9971
10103
10034
10031
10076
10039
10107
10173
10052
10041
10024
10028
9893
10069
10212
10076
9964
10133
9935
9979
10100
10177
10057
10184
9952
10056
10151
10058
10011
10006
10007
9996
10027
10100
10051
