prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p
0.0149122125522989 0.948831275436935 0.00464312194829796 0.884763919060834 0.88041087573797 0.879213858761433 0.755160902092134 0.608993378097377 0.929678141938144
0.558563840187046 0.751032866421856 0.438306085516301 0.880662095558548 0.90525630231288 0.0696082673053542 0.129367859871505 0.790551788254963 0.855035263354136
0.865391455950585 0.203897078048527 0.881575623633225 0.161762178949655 0.241216766785522 1 1 0.739903019016046 0.594151030983579
0.00787259228119236 0.00758765638560542 0.0164239888236219 0.0545286157293137 0.0561408687207879 0.852338103112783 0.88922945989655 0.170606145848218 0.193531447124983
0.765028277993314 0.481112177364333 0.821325073908675 0.471418540269086 0.481864207651833 0.564179997178246 0.509467684773748 0.0508424975614438 0.463219955017412
0.516293457837771 0.26990071991369 0.766696936346344 0.592093974977838 0.59906143771311 0.888985467064305 0.935690412197717 0.885926560252773 0.931406456542768
0.0124431471879041 0.997231760918882 0.0569984141372009 0.478839767950316 0.466961807219153 0.372941596009416 0.436461211616132 0.796136617577995 0.540585817944976
0.143239929510433 0.0107673773611324 0.662953161216352 0.0278168793896719 0.0261305215045819 0.624167238233784 0.758809431284531 0.880220870883226 0.739372283101333
0.770276007110685 0.83709279642085 0.638276539688757 0.366207750568742 0.513931306620734 0.330286456415452 0.60851044942008 0.0848665439263339 0.10174557737258
0.110604030131635 0.984383095098165 0.341820073069225 0.933908706100207 0.923052587988957 0.0867583346181616 0.130718628770004 0.10767808938764 0.0373195602827693
0.00990767711879548 0.0529461246969807 0.0660736218510986 0.180198112378551 0.232763222569367 0.419437757421239 0.48160315375043 0.63225460750986 0.870179125554489
6.40673739549101e-05 0.218848222375499 0.000522478969627891 0.325231552578018 0.379611291667001 0.576703441270534 0.336926585599657 0.0190702996379727 0.00675149869869407
0.986488679420749 0.428803926243566 0.668753423868981 0.0993918626820016 0.0925753831032511 0.659910930202435 0.851518434318496 0.599326274170325 0.54443760454525
0.939587293783179 0.320484380805141 0.0424809466450752 0.121353647327047 0.1475731541816 0.868386532089553 0.81868029242869 0.681233775879912 0.925500378220189
0.940266479846022 0.854031042322831 0.392719687864447 0.951566075715697 0.952696009098541 0.396315550558606 0.785248801196594 0.865274371328109 0.656663638742802
0.139465993415071 0.014616463230491 0.7722743605992 0.100118973056395 0.106201951045496 0.313161890399576 0.540547118731709 0.217819168272586 0.339902682775205
0.251613141545936 0.517009880349273 0.75260502787125 0.81360090420283 0.937854211079619 0.760885827581703 1 0.50893947662106 0.761336739507869
0.748601748057942 0.65264422637113 0.833691682014788 0.406888294118963 0.414350545665619 0.232333411635401 0.0685863589223246 0.47822666990958 0.197741106318391
0.625282480239472 0.656256494900364 0.435697487917039 0.574456527126532 0.682812498666179 0.523778226979096 0.393753956741064 0.0656706303117341 0.157899555810609
0.306154902209356 0.915658264302225 0.0619269583880372 0.971361827942204 0.960557410444676 0.645282084022704 0.795625901701392 0.876366569141651 0.8311561965845
0.932053390780044 0.477241946287397 0.920504963035093 0.108707748167907 0.116908119905917 0.431312139713876 0.558804810271745 1 0.919967981053013
0.126373596596644 0.0701629474274878 0.790750928741858 0.458700751369577 0.429350115873467 0.897076789081405 0.874315606772018 0.670286518267762 0.716279358207491
0.158783951219715 0.593430460830139 0.572230576434676 0.425877217580743 0.454322266795249 0.536976644264634 0.611363912249194 0.188625839992538 0.271173302424689
0.47548682125655 0.715553291616296 0.702823324526681 0.866977896773968 0.866977896774034 0.894077502121578 1 0.499122244407932 0.801451845820936
