iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.538071135287335 0.218892677045329 1 0.777818638612616
0.903401871000445 0.929506291213508 0.780148230729759 0.875939103954854
0.915257702895977 0.826367438582304 1 0.927745522855899
0.386476145797389 0.535232445933191 0.198376195029796 0.237819246595438
0.832097403997318 0.814982545649038 0.838377953375774 0.879102202949082
0.154062910660938 0.20177063598669 0.0461442495680604 0.0202086865095428
0.425014275573627 0.771332237472293 0.266385753984275 0.521293257410999
0.707947362856154 0.796072774787044 1 0.867810399436269
0.0691640374354867 0.0566316099235566 0.407606093540231 0.111731354058881
0.372146334218837 0.156403419425624 0.145035230434247 0.267444139605088
0.781505951975143 0.450534865723102 0.913737489764115 0.824953157915685
0.522084279166564 0.716659157562679 0.211222350072523 0.190477545957005
0.814547933296739 0.70277401011094 0.790672573970017 0.851912969106059
0.368320537660116 0.382140790036426 0.753814168249649 0.678977582018173
0.113699065396332 0.12733161486738 0.923939761859078 0.699829236275795
1 1 0.788285965658208 0.872270650143973
1 1 0.321457790794016 0.240759469004248
0.896474507205341 0.873535897098731 0.183654412108437 0.411658267388713
0.902462528267616 0.732133360601741 1 0.780009210112606
0.233940497803594 0.099710014713709 0.282800911857995 0.117990539552926
0.3726220310526 0.637964550381773 1 0.937759717660397
1 0.883069691294702 0.713241633388272 0.898555474623177
0.715037958634092 1 0.15696478028604 0.093594553957368
0.881557287753447 0.919807665370951 0.730027293950434 0.8550281758598
0.127564429557256 0.2023721818773 0.455299785253485 0.331774722071946
0.523114605133658 0.529192499829134 0.836921363652574 0.787777165899695
1 0.898619387635051 0.821855935614645 0.765823572368543
0.305498135299941 0.213871089378862 0.048383263647488 0.204194873885265
0.755330341913033 0.876274864968446 0.612187443044711 0.767081425137792
0.736359840494631 0.229031396563344 0.751130016152283 0.785491435163165
0.455947405536983 0.585602173810032 0.919141887164836 0.720052049606182
0.356322730031909 0.31208454745012 0.415195512864744 0.381509923319934
0.603741544767308 0.725845933965996 1 0.90527078832193
