iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.384082305269853 0.218892677045329 7.23746161078731e-05 0.000957302496631507
0.878402827936713 1 0.254891310117538 0.324593205923186
0.82224984121832 1 0.671192562040344 0.734347246645327
0.287814932418601 0.395347128495901 0.139680232305588 0.0942196195744757
0.243390216603906 0.193873009364155 0.0773238888982642 0.132590626186879
1 0.626132035379153 0.272698091252997 1
0.326548138572236 0.273366848167592 0.00691962142278146 0.0290521494612755
0.63163727332197 0.384940325089855 0.784442035493529 0.504528221091092
0.658068785855417 0.65467422997242 0.0150199047058979 0.131380203991677
0.354816999010259 0.320149923493996 0.0322206935600683 0.210619615474672
0.268751993501118 0.407664349016831 0.0171814931996608 0.019762821755458
0.86368156001428 1 0.00875568563381524 0.328610014309115
0.728047183945457 0.917636778766279 0.658411319717077 0.504910783200061
0.378085781153412 0.219671116719937 0.0180517572089636 0.074507785068001
0.282162582843206 0.325917219311737 0.728479439523912 1
0.713209519062889 0.59782863359998 0.416876318843099 0.460987618021426
0.791677156588558 0.850165055026395 0.411912072996002 0.673621904206192
1 1 0.839744267090882 0.809700482056187
0.894682515527215 0.8524325664631 0.0180327611946768 0.100791640636596
0.923352013209497 0.736418319737178 0.106555913055294 0.240188014682486
0.267903421675351 0.340885702793792 0.0322647515290876 0.47403690034363
0.00359936439222264 0.00443843978581071 0.591356251684039 0.367152460599704
0.469064670254125 0.627552166800252 0.421452112199414 0.418029377122616
0.926355024072984 1 0.193985418539553 0.648972268067524
0.551625648973992 0.710335167537476 0.916786670143189 0.904096870076153
0.795012589261313 0.906516919267161 0.557496913414683 0.543817939197196
0.84104937823933 0.831847555516967 0.00134588172714933 0.345033588346625
0.390111830492505 0.230240016790701 0.632457406072028 0.379092728574299
0.505561039468708 0.47634830687844 2.03844733138725e-05 0.00116807096888882
1 1 0.55057002947154 0.629094136315884
0.239657672527184 0.164514380417843 0.0700780665604197 0.0503769622734567
0.812725910396556 0.882823975749939 0.560111997373678 0.758600563892118
0.623144009237329 0.255140759993367 0.0414498400247993 0.0331814053378137
0.104140892563929 0.0989450562672731 0.00383374249803825 0.214413787562736
0.744791258600237 0.86862777273204 0.340731154516756 0.461180817233579
0.471043023303406 0.189882648592571 0.0225189040606085 0.0666825609649514
1 0.852204901313922 0.0394158289936988 0.403238834712563
0.631723581434013 0.840112129072892 0.142467314483762 0.20896476949398
0.348922175023869 0.360543013057289 0.0880200920305545 0.647973828018813
0.783964270646724 0.755537974621953 1 0.89164413801654
0.447420154204178 0.340548955581404 0.873774878367421 0.829611170864292
1 1 0.542191729567876 0.67167972817336
0.324835363971535 0.308055682801419 0.429272934185729 0.421929629712894
0.320300632583486 0.523887301600154 0.457644979775144 0.588050554226267
0.187567571844958 0.357947320301354 0.00976447495696842 0.0130807222537557
1 0.699383012245804 0.213195166211288 0.452239214489882
0.416657215622394 0.387015674646478 0.570984696094264 0.516814614306097
0.56789395445881 0.816529973674256 0.495390329431108 0.436176084274954
0.139582161273965 0.379773288749623 0.000323802369154524 0.00831200991783365
0.659933332473266 0.75497856726669 0.00449386728111678 0.1038009599765
0.138613479552693 0.0981164931201219 0.182580985654782 0.057113369747412
0.0527759896266649 0.149067911861862 0.0753998270828096 0.0831397636488733
0.605354989725293 0.735329513764861 1 1
0.62547567336773 0.80984817124274 0.362831609299252 0.581356983057662
0.483955492676977 0.494315336262861 0.17069968654398 0.370594179356642
0.713412780510828 0.398393783546034 0.00302228301272511 0.605783931709306
0.591133588027372 0.442681848586754 0.00386866679792697 0.524470155641994
0.92615116827042 0.850344008254197 1 1
0.916958087538868 0.847722036492715 0.156332579864162 0.249470478244023
0.451417788413329 0.245325193332973 1 0.901505974615078
0.240531092507619 0.430550430227402 0.116987283824908 0.125435181991486
0.699883659089486 0.756533167404763 1 1
1 1 0.158424866690493 0.60568246701361
0.513656634652974 0.412749941311803 0.571325595934177 0.514472258279421
0.195332181056748 0.11259177935841 0.8700453235725 0.607054038475029
0.663537858762212 1 0.396386851188367 0.496281638327749
0.722233460835338 0.485618966600307 0.325411949316971 0.220058302224751
0.547643076625806 0.877016659421447 0.0217947127407446 0.0972084447552467
1 0.919966495855373 0.00386321593751371 0.0285962703791003
0.259243171889961 0.22298806871014 0.335793828371576 0.418189913844668
0.650750789120705 0.393543409324032 1 0.715159166189239
0.0104479039594927 0.0160861700506378 0.795202264079896 0.500751335519219
0.0945592963313256 0.128369180258861 0.353241183295435 0.668451364465497
0.598314000746852 1 0.607129563881361 0.786416622505687
0.0439943995735304 0.111348808855278 0.00474090481434497 0.00639707541145274
0.0725043074505816 0.0242427147218885 0.0248403580268789 0.0112117987624317
0.583872785398655 0.663534744945419 5.76460339197782e-05 0.0170124853124823
0.858631398984612 0.878107541000683 0.000402311914436071 0.0209014705437515
0.489596149149304 0.768944336096313 0.362925930846012 0.366315750320948
0.429091632569309 0.372486947546524 0.824992710956004 0.682167732662428
0.199324981251651 0.224013532850452 0.259457318164852 0.397691904993453
0.488250293859209 0.344616700856954 0.081268885853061 0.114311565821748
0.875204758254859 1 0.0617304342032255 0.349197807377397
0.602140745185024 0.790661074320171 9.93077552857713e-07 0.0001798923760018
0.745696602806986 0.854450640551517 0.424155097848642 0.788661409137327
0.870225138309735 0.727130013432997 0.240992694299403 0.464145237675011
0.235571272745335 0.305481444616855 0.019087959521894 0.0144051342343429
0.142835134435751 0.106909191624596 0.105645718669627 0.131464341989458
0.0686461862497456 0.221424538122764 0.368993785140613 0.403218848704453
0.30266307893914 0.215724056170216 0.47627634731961 0.601519052141664
1 1 0.818859126455027 0.755005517652273
0.774617567190905 0.629928285603438 0.369278861337104 0.572227119685354
0.852668700574869 0.771423883349403 0.00138135232969006 0.0122795314712285
0.763442386180365 0.915247141994308 0.202358900825655 0.43601082088189
0.343345536956181 0.172351821589945 0.541122640427471 0.298515711747664
0.794980141059984 1 0.0447000364078058 0.298077578768599
0.748139368872115 0.690348494972867 0.941764945969684 0.694503334545372
0.814848662895753 0.513279697157052 1.23117584693855e-05 0.0393153015229053
0.540151465047888 0.317055713435686 0.294471298104783 0.365286738069685
0.760635011808367 0.83049445118874 0.16978001028867 0.198435082727008
