prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p
0.970402079738032 0.948831275436935 0.590454014713651 0.884763919060711 0.88041087573797 0.879213858761433 0.755160902092134 0.393862772114541 0.804231868857287
0.449661360806812 0.578577141488539 0.901919314206513 0.789044661888045 0.791844761756584 0.52418607898419 0.882143608846563 0.449526786302985 0.489436042177143
0.0618451178100877 0.0127907980146658 0.35204051132544 0.148176901497981 0.137003076046045 0.481106143659347 0.527726811749834 0.210523851609503 0.163974810228481
0.0745335892357332 0.614078895053049 0.100470989879185 0.449063947648338 0.49791790775623 0.918493853903698 1 0.312482734793838 0.686917369874992
0.341787217081055 0.73654701002036 0.39443883716991 0.5017356896393 0.535496799910511 0.548044803409959 0.678590630634218 0.714008054448426 0.612863463106586
0.397335251378472 0.428380971542792 0.0735802487660275 0.0854097195891661 0.115398331589302 0.332520078767225 0.331422592175317 0.891463541418644 0.858591508281306
0.0490852013716777 0.710643838686152 0.623192413015619 0.550136193603972 0.63451411244799 0.690145224150223 0.847776418722139 0.466440455529114 0.542799026340769
0.279142438221369 0.12563219400737 0.588943770326784 0.14787535837857 0.186869672818209 0.409748162222915 0.818388748730124 0.488624049904358 0.549366694140687
0.448566064268273 0.872496183955981 0.714969535139783 0.60708776356939 0.567329086424456 0.173615777120096 0.388607407801481 0.530977443660673 0.282190889284363
0.0563796340036162 0.999932389404971 0.127537997935944 0.505434906563115 0.495581351299369 0.305987793270656 0.738678797080408 1 0.92845260083901
0.882975904473968 0.0457545097952027 0.283810898732544 0.0476001983466578 0.0446067446022857 0.463562303987336 0.46430564886417 0.28470791874167 0.0622705819178506
0.870456921381396 0.987273449483905 0.873583269303979 0.746625362996616 0.735978763387054 0.51326454033389 0.301859939967994 0.13537514987725 0.154387507531031
0.741196502457767 0.370318620174464 0.656190391036505 0.948029764724228 0.89155107911411 0.876946790956896 0.814888726678599 0.85453132694674 0.890929203996007
0.887158536723115 0.933248911009179 0.378357618957826 0.556450784824142 0.598570660819699 1 0.857733202237803 0.721213797377368 1
0.727543057460528 0.589830957733148 0.858565539783517 0.28893540190764 0.288935401907805 0.754450138773287 0.871007822520154 0.509930311261774 0.819841666722407
0.788518118218272 0.797841304873684 0.777455165909455 0.702971891358285 0.753583776692678 0.939908038047196 1 0.902955374263768 1
0.295826111283081 0.800840804784948 0.201552255447686 0.740772842067689 0.771013323594261 1 1 0.789978935404806 1
0.13837570952182 0.672437577413652 0.480154220393291 0.476216328920321 0.346913579446199 0.698338886993173 0.775501845570568 0.939977200009181 0.902512830630132
0.665574917617872 0.234722652159227 0.949664465287024 0.136239479301594 0.117871559579553 0.815386546566425 0.665228404094705 0.931368845764365 0.845676052691789
0.36617289629081 0.603770314573946 0.564684552297805 0.24536543129497 0.334364857327403 0.0512327874273231 0.101649341394969 0.228550699545862 0.25340632162039
0.13164863595307 0.255633227969846 0.464916482728491 0.328149412580695 0.376192890732676 1 0.916465902732827 0.335378573278873 0.407039150272125
0.902802703438275 0.965019321712761 0.677249497123527 0.756255614451911 0.718360793255857 0.499860555133852 0.498475389383589 0.506935118350309 0.496433887952819
